id,score,rationale,run_id
1101,1,Not seeing Martin for ages implies B has not met him lately.,20260824T093740Z_5937923c
1102,7,Sending an application is something B is currently doing.,20260824T093740Z_5937923c
1103,6,Training with Lukas at the gym suggests they usually exercise together.,20260824T093740Z_5937923c
1104,7,A grandfather passing away confirms a death in the family.,20260824T093740Z_5937923c
1105,6,About 1000 km away strongly suggests Paris is very far.,20260824T093740Z_5937923c
1106,6,A six-hour drive suggests it takes a long time.,20260824T093740Z_5937923c
1107,2,A train delay suggests the journey is not going as planned.,20260824T093740Z_5937923c
1108,1,Some cereal left means they have not finished.,20260824T093740Z_5937923c
1109,1,Due in three months means the deadline is not next week.,20260824T093740Z_5937923c
1110,7,Always congested streets imply a lot of traffic.,20260824T093740Z_5937923c
1111,1,Being vegetarian implies Megan does not eat meat.,20260824T093740Z_5937923c
1112,7,Having the flu implies John is sick.,20260824T093740Z_5937923c
1113,6,Running every day strongly suggests Sonya trains daily.,20260824T093740Z_5937923c
1114,1,Just waking up means Clara is no longer sleeping.,20260824T093740Z_5937923c
1115,1,Coming out next week means it is not released today.,20260824T093740Z_5937923c
1116,7,Having used a drill before confirms experience with one.,20260824T093740Z_5937923c
1117,2,Celebrating tonight suggests the party is not tomorrow.,20260824T093740Z_5937923c
1118,7,Moving out tomorrow confirms leaving the flat soon.,20260824T093740Z_5937923c
1119,5,Always falling behind suggests he may be a slacker.,20260824T093740Z_5937923c
1120,7,Being famous for surfing confirms the area is popular.,20260824T093740Z_5937923c
1121,1,Rough sea means it is not calm.,20260824T093740Z_5937923c
1122,2,Working at an NGO suggests not a corporate company.,20260824T093740Z_5937923c
1123,7,Authoring many books confirms he is a writer.,20260824T093740Z_5937923c
1124,1,Still analyzing data means not finished.,20260824T093740Z_5937923c
1125,2,Endangered species suggests there are not many pandas left.,20260824T093740Z_5937923c
1126,7,Enrolling at the gym confirms joining a fitness studio.,20260824T093740Z_5937923c
1127,1,Thesis not complete means not finished.,20260824T093740Z_5937923c
1128,7,Hair being way too long confirms B used to have long hair.,20260824T093740Z_5937923c
1129,1,A business trip means it was not a vacation.,20260824T093740Z_5937923c
1130,1,Needing a larger flat means one room is not enough.,20260824T093740Z_5937923c
1131,7,A deadline tomorrow means she must hand in soon.,20260824T093740Z_5937923c
1132,7,Sleeping only four hours confirms a short night.,20260824T093740Z_5937923c
1133,1,Expired offer means the flight was not still discounted.,20260824T093740Z_5937923c
1134,7,Getting wounded confirms the cat is hurt.,20260824T093740Z_5937923c
1135,1,Mark missing means not everyone is here.,20260824T093740Z_5937923c
1137,7,Being Chinese implies coming from Asia.,20260824T093740Z_5937923c
1138,3,"The line going dead suggests B may not have hung up, but it is not explicit.",20260824T093740Z_5937923c
1139,6,Having domestics suggests someone takes care of the house.,20260824T093740Z_5937923c
1140,1,Just opening means the bar has not been here long.,20260824T093740Z_5937923c
1141,7,A house full of books implies owning many books.,20260824T093740Z_5937923c
1143,6,Only a few guests suggests a small gathering.,20260824T093740Z_5937923c
1144,1,One week off means not two weeks of holiday.,20260824T093740Z_5937923c
1145,6,Going to have a baby strongly suggests pregnancy.,20260824T093740Z_5937923c
1147,1,Still owing money means debts are not fully paid.,20260824T093740Z_5937923c
1148,1,Only water means he did not drink a cocktail.,20260824T093740Z_5937923c
1149,3,"Owning an orchard suggests fruit rather than vegetables, but does not fully rule out a garden.",20260824T093740Z_5937923c
1150,1,A 25-year-old son is not underage.,20260824T093740Z_5937923c
1151,1,Extremely expensive tuition means Harvard is not affordable.,20260824T093740Z_5937923c
1152,7,A bank transfer confirms she has paid.,20260824T093740Z_5937923c
1153,1,Cannot swim means they are not good at swimming.,20260824T093740Z_5937923c
1154,1,Being healthy again means the cold is gone.,20260824T093740Z_5937923c
1155,7,Not allowed to get closer confirms it is forbidden.,20260824T093740Z_5937923c
1156,7,Watering plants regularly confirms someone took care of them.,20260824T093740Z_5937923c
1157,1,Already dead by then means not alive in the 80s.,20260824T093740Z_5937923c
1158,7,A thick ice layer confirms the lake is frozen.,20260824T093740Z_5937923c
1159,1,Being in the advanced course means not attending the beginners' class.,20260824T093740Z_5937923c
1160,7,Seeing a doctor confirms seeking medical advice.,20260824T093740Z_5937923c
1161,1,Going out means B did not stay home.,20260824T093740Z_5937923c
1162,6,Voting yesterday strongly suggests a recent election.,20260824T093740Z_5937923c
1163,7,Spotless means completely clean.,20260824T093740Z_5937923c
1164,1,A blank sheet means they did not answer questions.,20260824T093740Z_5937923c
1165,2,Being in the changing room suggests she is not on the tennis field.,20260824T093740Z_5937923c
1166,6,Being compensated suggests he got money back.,20260824T093740Z_5937923c
1167,1,No one responded means no one answered the ad.,20260824T093740Z_5937923c
1168,2,Not playing any instrument suggests he is not a musician.,20260824T093740Z_5937923c
1169,7,Being in Japan confirms travel in Asia.,20260824T093740Z_5937923c
1170,7,Aiming for the mountain top confirms the goal is the summit.,20260824T093740Z_5937923c
1171,7,The customer receiving it confirms he got the package.,20260824T093740Z_5937923c
1173,1,Skipping lessons means she did not attend the whole course.,20260824T093740Z_5937923c
1174,7,Poor monitor resolution confirms a bad image.,20260824T093740Z_5937923c
1175,7,Graduating from medical school confirms completed medical studies.,20260824T093740Z_5937923c
1176,1,Private property means it is not a public building.,20260824T093740Z_5937923c
1201,3,"Not seeing Martin for ages suggests they may no longer be close, but friendship is not certain.",20260824T093740Z_5937923c
1202,6,Sending out applications suggests looking for a job.,20260824T093740Z_5937923c
1203,7,Training with Lukas implies B knows him.,20260824T093740Z_5937923c
1204,4,A grandfather's death does not confirm whether the property is now his.,20260824T093740Z_5937923c
1205,6,1000 km away suggests a long drive.,20260824T093740Z_5937923c
1206,6,A six-hour drive suggests Munich is far.,20260824T093740Z_5937923c
1207,3,"A train delay makes being home by noon less likely, but the delay length is unknown.",20260824T093740Z_5937923c
1208,3,"Some cereal left suggests B may not have bought more, but it is not explicit.",20260824T093740Z_5937923c
1209,3,"A distant deadline suggests B may not have started, but it is not stated.",20260824T093740Z_5937923c
1210,5,Congested streets make being late more likely.,20260824T093740Z_5937923c
1211,3,"Being vegetarian suggests Megan may not come to a steak house, but it is not certain.",20260824T093740Z_5937923c
1212,6,Having the flu suggests John is staying home.,20260824T093740Z_5937923c
1213,4,Running daily does not confirm marathon registration.,20260824T093740Z_5937923c
1214,6,Just waking up suggests Clara has not had breakfast yet.,20260824T093740Z_5937923c
1215,1,"If the movie comes out next week, B has not seen it.",20260824T093740Z_5937923c
1216,7,Having used a drill before confirms knowing how to use it.,20260824T093740Z_5937923c
1217,6,Celebrating suggests B likely did not fail.,20260824T093740Z_5937923c
1218,6,Moving out strongly suggests a breakup.,20260824T093740Z_5937923c
1219,5,"Falling behind suggests he may have been fired, but it is not confirmed.",20260824T093740Z_5937923c
1220,6,Famous for surfing suggests big waves.,20260824T093740Z_5937923c
1221,2,Rough sea suggests it is not safe to swim.,20260824T093740Z_5937923c
1222,3,Working at an NGO weakly suggests not making a lot of money.,20260824T093740Z_5937923c
1223,5,"Successful books suggest fame, but not definitively.",20260824T093740Z_5937923c
1224,6,Still analyzing data suggests it was not presented.,20260824T093740Z_5937923c
1225,6,Endangered status suggests hunting pandas is not legal.,20260824T093740Z_5937923c
1226,4,Enrolling at the gym does not confirm weight loss.,20260824T093740Z_5937923c
1227,1,Incomplete thesis means B has not graduated.,20260824T093740Z_5937923c
1228,4,Saying hair was too long does not confirm whether it was cut.,20260824T093740Z_5937923c
1229,6,A business trip suggests little or no time for sightseeing.,20260824T093740Z_5937923c
1230,6,Needing a larger flat suggests B did not buy the one-room flat.,20260824T093740Z_5937923c
1231,5,A deadline tomorrow suggests stress.,20260824T093740Z_5937923c
1232,6,Sleeping only four hours suggests tiredness.,20260824T093740Z_5937923c
1233,6,Expired offer suggests he did not book the flight.,20260824T093740Z_5937923c
1234,5,"A wounded cat suggests a vet visit, but B does not explicitly confirm.",20260824T093740Z_5937923c
1235,1,Mark missing means they are not ready to go.,20260824T093740Z_5937923c
1237,4,Being Chinese does not reliably confirm ability to cook Cantonese rice.,20260824T093740Z_5937923c
1238,3,The line going dead suggests B may not have told him.,20260824T093740Z_5937923c
1239,5,Having domestics suggests the house may be kept tidy.,20260824T093740Z_5937923c
1240,3,A bar just opened suggests B may not have tried it yet.,20260824T093740Z_5937923c
1241,6,Many history books suggest a passion for history.,20260824T093740Z_5937923c
1243,5,Few guests suggests the saucepan may be big enough.,20260824T093740Z_5937923c
1244,1,Only one week off means not a two-week trip.,20260824T093740Z_5937923c
1245,6,Having a baby suggests avoiding alcohol.,20260824T093740Z_5937923c
1247,4,Owing money does not confirm whether a new loan was obtained.,20260824T093740Z_5937923c
1248,1,Only water means he is not drunk.,20260824T093740Z_5937923c
1249,6,Owning an orchard suggests B may not buy fruit at the supermarket.,20260824T093740Z_5937923c
1250,1,A 25-year-old is not at elementary school.,20260824T093740Z_5937923c
1251,6,Extremely expensive tuition suggests Harvard is not an option.,20260824T093740Z_5937923c
1252,6,A bank transfer suggests she accepted the deal.,20260824T093740Z_5937923c
1253,3,"Not being able to swim suggests they may not have gone to the pool, but it is not certain.",20260824T093740Z_5937923c
1254,6,Being healthy again suggests B stopped taking the pills.,20260824T093740Z_5937923c
1255,5,"Being kept away suggests contamination, but it is not explicit.",20260824T093740Z_5937923c
1256,5,Regular watering suggests the plants are likely alive.,20260824T093740Z_5937923c
1257,1,Being dead by then means he could not have created it in 1981.,20260824T093740Z_5937923c
1258,5,"Thick ice suggests ice skating season, but not explicitly.",20260824T093740Z_5937923c
1259,1,An advanced course means B is not a beginner.,20260824T093740Z_5937923c
1260,5,Seeing a doctor suggests B has been sick.,20260824T093740Z_5937923c
1261,3,Going out suggests B may not have gone to bed early.,20260824T093740Z_5937923c
1262,6,Voting suggests members can elect a representative.,20260824T093740Z_5937923c
1263,5,Spotless suggests the car may be back from the wash.,20260824T093740Z_5937923c
1264,1,A blank sheet means they did not write a good exam.,20260824T093740Z_5937923c
1265,6,Just entering the changing room suggests she is not dressed yet.,20260824T093740Z_5937923c
1266,5,"Compensation suggests lawsuit settlement, but not explicitly.",20260824T093740Z_5937923c
1267,1,No responses means the house has not been sold.,20260824T093740Z_5937923c
1268,2,Not playing an instrument suggests he is not in a marching band.,20260824T093740Z_5937923c
1269,5,Time in Japan suggests he may have tried sushi.,20260824T093740Z_5937923c
1270,5,Aiming for the mountain top suggests uphill travel.,20260824T093740Z_5937923c
1271,7,The customer receiving it confirms it was shipped.,20260824T093740Z_5937923c
1273,1,Skipping lessons means she is not very dedicated.,20260824T093740Z_5937923c
1274,5,Poor monitor resolution suggests eye strain.,20260824T093740Z_5937923c
1275,6,Graduating from medical school suggests she is a medical doctor.,20260824T093740Z_5937923c
1276,3,"Private property suggests B may not have been inside, but it is not explicit.",20260824T093740Z_5937923c
2101,7,Needing to revise topics confirms studying for the test.,20260824T093740Z_5937923c
2102,7,A new movie confirms something has come out recently.,20260824T093740Z_5937923c
2103,6,Quite chilly suggests it is cold.,20260824T093740Z_5937923c
2105,6,Having heard good things suggests some knowledge about the novel.,20260824T093740Z_5937923c
2106,6,Pulling a muscle last time suggests an injury at yoga class.,20260824T093740Z_5937923c
2107,6,Cannot find phone suggests it is lost.,20260824T093740Z_5937923c
2108,7,Minus 20 degrees confirms it is cold.,20260824T093740Z_5937923c
2109,7,Entering a church confirms a religious building.,20260824T093740Z_5937923c
2110,6,Training very hard suggests workouts are difficult.,20260824T093740Z_5937923c
2113,7,Working on an exhausting task confirms working today.,20260824T093740Z_5937923c
2114,2,Not bringing a bikini suggests no swimming gear.,20260824T093740Z_5937923c
2115,1,Not having time means not free.,20260824T093740Z_5937923c
2116,2,Watching last month suggests not yesterday.,20260824T093740Z_5937923c
2117,2,Being on a diet suggests not eating more than usual.,20260824T093740Z_5937923c
2118,1,Being Muslim means not practicing Hinduism.,20260824T093740Z_5937923c
2119,1,Head spinning means not feeling ok.,20260824T093740Z_5937923c
2120,1,Being very tired means not energetic.,20260824T093740Z_5937923c
2121,1,Being broke means no money saved.,20260824T093740Z_5937923c
2122,1,Past use means it is not the first experience.,20260824T093740Z_5937923c
2123,1,11 p.m. means it is not morning.,20260824T093740Z_5937923c
2124,1,A hangover means not feeling good.,20260824T093740Z_5937923c
2125,1,Diabetes means not free of chronic disease.,20260824T093740Z_5937923c
2127,1,Getting seasick means not feeling well on boats.,20260824T093740Z_5937923c
2128,1,Toothache gone means teeth are not hurting.,20260824T093740Z_5937923c
2129,5,Several bus stops suggests a moderate number of stations.,20260824T093740Z_5937923c
2130,2,Should not staple suggests not allowed.,20260824T093740Z_5937923c
2131,1,Very light luggage does not weigh much.,20260824T093740Z_5937923c
2132,7,Getting up at 5 a.m. confirms waking early.,20260824T093740Z_5937923c
2134,1,French native language means Spanish is not the mother tongue.,20260824T093740Z_5937923c
2135,7,Not working confirms the remote is unusable.,20260824T093740Z_5937923c
2136,7,Common wolves confirm wild animals in the region.,20260824T093740Z_5937923c
2137,2,Only cacti suggests there are no trees.,20260824T093740Z_5937923c
2138,6,Needing it for travelling suggests the passport is necessary.,20260824T093740Z_5937923c
2139,2,Having a sandwich suggests no pie.,20260824T093740Z_5937923c
2140,6,Having to go out soon suggests they are about to leave.,20260824T093740Z_5937923c
2141,7,Starving confirms being hungry.,20260824T093740Z_5937923c
2144,7,Drinking tea all the time confirms frequent hot drinks.,20260824T093740Z_5937923c
2145,7,Too much light confirms the room is bright.,20260824T093740Z_5937923c
2146,1,Being abroad means not staying in town till Friday.,20260824T093740Z_5937923c
2147,7,Having soup confirms eating something.,20260824T093740Z_5937923c
2148,7,Started pouring confirms it is raining.,20260824T093740Z_5937923c
2149,1,Not drinking means no alcohol consumption.,20260824T093740Z_5937923c
2150,1,A dishwasher remaining means not everything was taken away.,20260824T093740Z_5937923c
2151,2,Giving away the racket suggests no tennis equipment.,20260824T093740Z_5937923c
2152,1,Not eating spicy dishes means not all types of food.,20260824T093740Z_5937923c
2153,7,Living right next door confirms being neighbours.,20260824T093740Z_5937923c
2155,1,Understanding everything means not confused.,20260824T093740Z_5937923c
2156,7,Chest hurting confirms upper body pain.,20260824T093740Z_5937923c
2157,1,Middle of summer means not winter.,20260824T093740Z_5937923c
2159,7,Cutting a finger confirms getting hurt.,20260824T093740Z_5937923c
2160,7,Dust all over confirms the living room is dirty.,20260824T093740Z_5937923c
2161,1,Bringing toothpaste means it was not left at home.,20260824T093740Z_5937923c
2162,7,Chapped lips confirm wind damage.,20260824T093740Z_5937923c
