id,score,rationale,run_id
1101,1,B explicitly has not seen Martin for ages.,20260821T125948Z_8dbb5082
1102,7,Sending an application is something B is doing now.,20260821T125948Z_8dbb5082
1103,6,Training with Lukas at the gym indicates they usually exercise together.,20260821T125948Z_8dbb5082
1104,7,B states that his grandfather recently passed away.,20260821T125948Z_8dbb5082
1105,6,A distance of about 1000 km strongly implies it is far.,20260821T125948Z_8dbb5082
1106,6,A six-hour drive generally takes a long time.,20260821T125948Z_8dbb5082
1107,2,A train delay means the journey is not fully going as planned.,20260821T125948Z_8dbb5082
1108,1,"Some cereal remains, so they have not finished it.",20260821T125948Z_8dbb5082
1109,1,"The essay is due in three months, not next week.",20260821T125948Z_8dbb5082
1110,7,Always congested streets directly indicate heavy traffic.,20260821T125948Z_8dbb5082
1111,1,A vegetarian does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu means John is sick.,20260821T125948Z_8dbb5082
1113,7,Running for hours every day indicates daily training.,20260821T125948Z_8dbb5082
1114,1,"Clara just woke up, so she is no longer sleeping.",20260821T125948Z_8dbb5082
1115,1,The movie releases next week rather than today.,20260821T125948Z_8dbb5082
1116,7,B says they have used a drill before.,20260821T125948Z_8dbb5082
1117,1,"The party is tonight, not tomorrow.",20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow means B is leaving soon.,20260821T125948Z_8dbb5082
1119,6,Always falling behind strongly suggests he is a slacker.,20260821T125948Z_8dbb5082
1120,7,The region is explicitly famous for surfing.,20260821T125948Z_8dbb5082
1121,1,A rough sea is not calm.,20260821T125948Z_8dbb5082
1122,1,An NGO is not generally a corporate company.,20260821T125948Z_8dbb5082
1123,7,Authoring many books means he is a writer.,20260821T125948Z_8dbb5082
1124,1,B is still analyzing the data and is not finished.,20260821T125948Z_8dbb5082
1125,2,Being endangered implies relatively few pandas remain.,20260821T125948Z_8dbb5082
1126,7,Enrolling at a gym means joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,B explicitly says the thesis is not complete.,20260821T125948Z_8dbb5082
1128,7,B states their hair was too long.,20260821T125948Z_8dbb5082
1129,7,"B confirms they went to Japan, although for business.",20260821T125948Z_8dbb5082
1130,1,Needing a larger flat means a one-room flat is insufficient.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow means she must hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Only four hours of sleep is a short night.,20260821T125948Z_8dbb5082
1133,1,The discount offer had already expired.,20260821T125948Z_8dbb5082
1134,7,Being wounded means the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,"Mark is still missing, so not everyone is present.",20260821T125948Z_8dbb5082
1137,7,Being Chinese means B comes from Asia.,20260821T125948Z_8dbb5082
1138,6,The line going dead strongly implies the call ended.,20260821T125948Z_8dbb5082
1139,7,Having domestic staff means someone takes care of the house.,20260821T125948Z_8dbb5082
1140,1,"The bar has just opened, so it has not been there long.",20260821T125948Z_8dbb5082
1141,7,A house full of books indicates he owns many books.,20260821T125948Z_8dbb5082
1143,7,Only a few dinner guests describes a small gathering.,20260821T125948Z_8dbb5082
1144,1,"B has only one week off, not two.",20260821T125948Z_8dbb5082
1145,7,Going to have a baby indicates pregnancy.,20260821T125948Z_8dbb5082
1147,1,B still owes the bank money and has not paid all debts.,20260821T125948Z_8dbb5082
1148,1,"He had only water, not a cocktail.",20260821T125948Z_8dbb5082
1149,6,"Owning an orchard is not exactly a vegetable garden, but it is a garden for produce.",20260821T125948Z_8dbb5082
1150,1,"At 25, his son is not underage.",20260821T125948Z_8dbb5082
1151,1,Extremely expensive tuition means Harvard is not affordable.,20260821T125948Z_8dbb5082
1152,7,A recent bank transfer indicates she has paid.,20260821T125948Z_8dbb5082
1153,1,The children cannot swim yet.,20260821T125948Z_8dbb5082
1154,1,B is healthy again and no longer has a cold.,20260821T125948Z_8dbb5082
1155,7,People are explicitly forbidden from getting closer.,20260821T125948Z_8dbb5082
1156,7,Regular watering means someone cared for the plants.,20260821T125948Z_8dbb5082
1157,1,He was dead before the 1980s.,20260821T125948Z_8dbb5082
1158,7,A thick ice layer indicates the lake is frozen.,20260821T125948Z_8dbb5082
1159,1,"B is in an advanced, not beginners', course.",20260821T125948Z_8dbb5082
1160,7,Seeing a doctor means seeking medical advice.,20260821T125948Z_8dbb5082
1161,1,B went out rather than stayed home.,20260821T125948Z_8dbb5082
1162,7,Voting yesterday indicates a recent election.,20260821T125948Z_8dbb5082
1163,7,Spotless means completely clean.,20260821T125948Z_8dbb5082
1164,1,Submitting a blank sheet means they did not answer the questions.,20260821T125948Z_8dbb5082
1165,1,"She is in the changing room, not out on the tennis court.",20260821T125948Z_8dbb5082
1166,6,Being compensated strongly suggests he got money back.,20260821T125948Z_8dbb5082
1167,1,B explicitly says no one responded.,20260821T125948Z_8dbb5082
1168,1,"He plays no instruments, so he is not a musician.",20260821T125948Z_8dbb5082
1169,7,Living in Japan for months means he has travelled in Asia.,20260821T125948Z_8dbb5082
1170,7,The mountain top is the summit.,20260821T125948Z_8dbb5082
1171,7,The customer received the package.,20260821T125948Z_8dbb5082
1173,2,Skipping four final lessons means she did not attend the whole course.,20260821T125948Z_8dbb5082
