evaluator,CONDITION,response,mean,sd,sem
anthropic/claude-haiku-4.5,direct,no,0.9565217391304348,0.20542514084466046,0.024730280825848737
anthropic/claude-haiku-4.5,direct,yes,0.9565217391304348,0.20542514084466046,0.02473028082584874
anthropic/claude-haiku-4.5,indirect,no,0.9402985074626866,0.2387211518300628,0.02916443047517595
anthropic/claude-haiku-4.5,indirect,yes,0.9154929577464789,0.2801264445740498,0.033244892639553936
anthropic/claude-opus-4.8,direct,no,1.0,0.0,0.0
anthropic/claude-opus-4.8,direct,yes,0.971830985915493,0.16663312875171468,0.01977571408499898
anthropic/claude-opus-4.8,indirect,no,0.9436619718309859,0.23221442945580473,0.02755878256460995
anthropic/claude-opus-4.8,indirect,yes,0.9701492537313433,0.17145979772029107,0.02094714821693245
anthropic/claude-opus-5,direct,no,1.0,0.0,0.0
anthropic/claude-opus-5,direct,yes,1.0,0.0,0.0
anthropic/claude-opus-5,indirect,no,0.971830985915493,0.16663312875171465,0.019775714084998976
anthropic/claude-opus-5,indirect,yes,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,direct,no,1.0,0.0,0.0
anthropic/claude-sonnet-4.6,direct,yes,0.9857142857142858,0.11952286093343936,0.014285714285714285
anthropic/claude-sonnet-4.6,indirect,no,0.9855072463768116,0.1203858530857692,0.014492753623188406
anthropic/claude-sonnet-4.6,indirect,yes,0.9855072463768116,0.1203858530857692,0.014492753623188406
anthropic/claude-sonnet-5,direct,no,1.0,0.0,0.0
anthropic/claude-sonnet-5,direct,yes,0.9857142857142858,0.11952286093343936,0.014285714285714285
anthropic/claude-sonnet-5,indirect,no,0.971830985915493,0.16663312875171463,0.019775714084998976
anthropic/claude-sonnet-5,indirect,yes,1.0,0.0,0.0
google/gemini-2.5-pro,direct,no,1.0,0.0,0.0
google/gemini-2.5-pro,direct,yes,1.0,0.0,0.0
google/gemini-2.5-pro,indirect,no,0.9583333333333334,0.2012286205947824,0.02371502036523093
google/gemini-2.5-pro,indirect,yes,1.0,0.0,0.0
google/gemini-3.1-flash-lite,direct,no,1.0,0.0,0.0
google/gemini-3.1-flash-lite,direct,yes,0.9324324324324325,0.25271571992678216,0.029377605714932784
google/gemini-3.1-flash-lite,indirect,no,0.85,0.35932426031459785,0.04017367360141354
google/gemini-3.1-flash-lite,indirect,yes,0.9827586206896551,0.13130643285972254,0.017241379310344827
google/gemini-3.1-pro-preview,direct,no,1.0,0.0,0.0
google/gemini-3.1-pro-preview,direct,yes,1.0,0.0,0.0
google/gemini-3.1-pro-preview,indirect,no,0.9857142857142858,0.11952286093343936,0.014285714285714285
google/gemini-3.1-pro-preview,indirect,yes,1.0,0.0,0.0
google/gemini-3.5-flash-lite,direct,no,1.0,0.0,0.0
google/gemini-3.5-flash-lite,direct,yes,0.8846153846153846,0.32155342230584855,0.03640875553275109
google/gemini-3.5-flash-lite,indirect,no,0.9428571428571428,0.23379132809659067,0.027943408395532904
google/gemini-3.5-flash-lite,indirect,yes,0.9558823529411765,0.2068833061667868,0.025088285985372334
google/gemini-3.6-flash,direct,no,1.0,0.0,0.0
google/gemini-3.6-flash,direct,yes,1.0,0.0,0.0
google/gemini-3.6-flash,indirect,no,0.971830985915493,0.16663312875171465,0.019775714084998976
google/gemini-3.6-flash,indirect,yes,1.0,0.0,0.0
google/gemini-3.7-flash,direct,no,1.0,0.0,0.0
