id,score,rationale
1101,2,Not seeing Martin for ages strongly implies the answer is no to having met him lately.
1102,5,"Sending out an application suggests they are doing something right now, though it does not explicitly say they are occupied at this exact moment."
1103,6,"Training with him at the gym indicates they usually exercise together, so this is very likely yes."
1104,7,Saying the grandfather passed away recently directly answers yes to a death in the family.
1105,7,Being 1000 km away clearly means Paris is very far from here.
1106,7,A six hour drive directly indicates it takes long to get to Munich.
1107,2,"A delay means the journey is not going as planned, so this is likely no."
1108,2,Saying there is still some left means they have not finished their cereal.
1109,1,"If it is not due for three months, then the deadline is not next week."
1110,7,Always congested with cars directly supports that there is usually a lot of traffic.
1111,7,Being vegetarian means she does not eat meat.
1112,7,Having the flu directly indicates he is sick.
1113,7,Running for hours every day strongly implies she trains daily.
1114,1,Just waking up means she is not still sleeping.
1115,1,"If it comes out next week, it is not being released today."
1116,6,"Having used a drill before clearly indicates prior experience, though not necessarily extensive work with one."
1117,1,Celebrating tonight means the birthday party is not tomorrow.
1118,6,Moving out tomorrow strongly suggests leaving the flat soon.
1119,6,Always falling behind is strong evidence that he is a slacker.
1120,7,Being famous for surfing directly answers that the area is popular for something.
1121,1,"Quite rough is the opposite of calm, so this is no."
1122,1,Working at an NGO means not working for a corporate company.
1123,7,Authoring many successful books directly indicates he is a writer.
1124,1,Still analyzing it means the data work is not finished.
1125,7,An endangered species implies there are not many pandas left.
1126,7,Enrolled at the gym means they have joined a fitness studio.
1127,1,"If the thesis is not complete yet, it has not been finished."
1128,6,Saying the hair was way too long strongly suggests they used to have long hair.
1129,1,"A business trip is not a vacation, so the answer is no."
1130,1,Needing a larger one means a one-room flat is not enough.
1131,7,"If the deadline is tomorrow, then she has to hand it in soon."
1132,7,Sleeping only four hours clearly means it was a short night.
1133,1,"If the offer had already expired, the flight was not still discounted."
1134,7,Got wounded directly means the cat is hurt.
1135,1,"If Mark is still missing, then not everyone is here."
1137,6,"Being Chinese strongly suggests coming from Asia, though it is not logically guaranteed in every case."
1138,4,"The line went dead suggests the call ended, but it does not clearly say whether the person hung up or the connection failed."
