id,score,rationale,run_id
1101,1,Saying he has not seen Martin for ages directly contradicts having met him lately.,20260821T125948Z_8dbb5082
1102,7,"Sending out an application is a current activity, so this clearly answers yes.",20260821T125948Z_8dbb5082
1103,6,"Training with Lukas at the gym strongly suggests they exercise together, though it does not explicitly say how usual it is.",20260821T125948Z_8dbb5082
1104,7,"A grandfather passing away is a death in the family, so this is clearly yes.",20260821T125948Z_8dbb5082
1105,7,A distance of about 1000 km is very far in ordinary terms.,20260821T125948Z_8dbb5082
1106,6,"A six-hour drive strongly suggests it takes a long time, though 'long' is somewhat subjective.",20260821T125948Z_8dbb5082
1107,2,A train delay indicates the journey is not going exactly as planned.,20260821T125948Z_8dbb5082
1108,1,"If there is still cereal left, they have not finished it.",20260821T125948Z_8dbb5082
1109,1,Being due in three months directly contradicts being due next week.,20260821T125948Z_8dbb5082
1110,7,Streets always congested with cars clearly means there is usually a lot of traffic.,20260821T125948Z_8dbb5082
1111,1,Being vegetarian normally means she does not eat meat.,20260821T125948Z_8dbb5082
1112,7,Having the flu clearly means John is sick.,20260821T125948Z_8dbb5082
1113,7,Running for hours every day directly indicates daily training.,20260821T125948Z_8dbb5082
1114,1,"If Clara just woke up, she is no longer sleeping.",20260821T125948Z_8dbb5082
1115,1,Coming out next week directly contradicts being released today.,20260821T125948Z_8dbb5082
1116,7,Having used a drill before clearly means they have worked with one.,20260821T125948Z_8dbb5082
1117,2,"Celebrating tonight suggests the party is not tomorrow, though it could theoretically continue or be separate.",20260821T125948Z_8dbb5082
1118,7,Moving out tomorrow clearly means leaving the flat soon.,20260821T125948Z_8dbb5082
1119,6,"Always falling behind strongly supports calling him a slacker, though it is a judgment rather than an explicit label.",20260821T125948Z_8dbb5082
1120,7,Being famous for surfing clearly means the area is popular for something.,20260821T125948Z_8dbb5082
1121,1,A rough sea is the opposite of a calm sea.,20260821T125948Z_8dbb5082
1122,1,"An NGO is not a corporate company, so this answers no.",20260821T125948Z_8dbb5082
1123,7,Authoring many successful books clearly indicates he is a writer.,20260821T125948Z_8dbb5082
1124,1,Still analyzing the data means the work is not finished.,20260821T125948Z_8dbb5082
1125,2,"Being endangered strongly implies there are not many pandas left, though it does not give exact numbers.",20260821T125948Z_8dbb5082
1126,7,Enrolling at the gym clearly means joining a fitness studio.,20260821T125948Z_8dbb5082
1127,1,Saying the thesis is not complete yet directly means it is not finished.,20260821T125948Z_8dbb5082
1128,7,Saying the hair was way too long clearly indicates they used to have long hair.,20260821T125948Z_8dbb5082
1129,1,"A business trip is not a vacation, so this answers no.",20260821T125948Z_8dbb5082
1130,1,Needing a larger flat directly means a one-room flat is not enough.,20260821T125948Z_8dbb5082
1131,7,A deadline tomorrow clearly means she has to hand it in soon.,20260821T125948Z_8dbb5082
1132,7,Sleeping only four hours clearly means having had a short night.,20260821T125948Z_8dbb5082
1133,1,"If the offer had expired, the flight was no longer discounted.",20260821T125948Z_8dbb5082
1134,7,Being wounded clearly means the cat is hurt.,20260821T125948Z_8dbb5082
1135,1,"If Mark is still missing, not everyone is here.",20260821T125948Z_8dbb5082
1137,7,Being Chinese means coming from Asia in this context.,20260821T125948Z_8dbb5082
1138,2,Saying the line went dead suggests the call ended unintentionally rather than that they hung up.,20260821T125948Z_8dbb5082
1139,6,Having domestics strongly suggests someone takes care of the house.,20260821T125948Z_8dbb5082
1140,1,Having just opened directly means the bar has not been there for long.,20260821T125948Z_8dbb5082
1141,7,A house full of books clearly indicates he owns many books.,20260821T125948Z_8dbb5082
1143,7,Having only a few guests over clearly indicates a small gathering.,20260821T125948Z_8dbb5082
1144,1,Having only one week off directly contradicts having two weeks of holiday.,20260821T125948Z_8dbb5082
1145,7,Going to have a baby clearly means being pregnant.,20260821T125948Z_8dbb5082
1147,1,Still owing the bank money means the debts have not been fully paid back.,20260821T125948Z_8dbb5082
1148,1,Having only water directly means he did not drink a cocktail.,20260821T125948Z_8dbb5082
1149,2,"An orchard is for fruit trees, not a vegetable garden, so this is likely no.",20260821T125948Z_8dbb5082
1150,1,A 25-year-old son is not underage.,20260821T125948Z_8dbb5082
