id,rationale,score,run_id
1101,"Person B's statement implies they haven't seen Martin for a long time, which aligns with not having met him lately.",1,20260824T093740Z_5937923c
1102,"Person B is actively doing something, which is sending out an application, so they are doing something right now.",7,20260824T093740Z_5937923c
1103,"Person B trains with Lukas at the gym, indicating they usually exercise together.",7,20260824T093740Z_5937923c
1104,The recent passing of his grandfather is a significant event that could be considered a death in the family.,7,20260824T093740Z_5937923c
1105,The distance of 1000 Km is significant and implies Paris is far from the current location.,7,20260824T093740Z_5937923c
1106,"A six-hour drive is considered long, so it takes long to get to Munich.",7,20260824T093740Z_5937923c
1107,A delay in the train indicates the journey is not going as planned.,1,20260824T093740Z_5937923c
1108,There being some cereal left implies they haven't finished it.,1,20260824T093740Z_5937923c
1109,The essay not being due for three months indicates it is not due next week.,1,20260824T093740Z_5937923c
1110,The streets being always congested implies there is usually a lot of traffic.,7,20260824T093740Z_5937923c
1111,Being vegetarian means Megan does not eat meat.,1,20260824T093740Z_5937923c
1112,Having the flu is a valid reason for being sick.,7,20260824T093740Z_5937923c
1113,Running for hours every day indicates Sonya trains daily.,7,20260824T093740Z_5937923c
1114,"Having just woken up means Clara was sleeping until that moment, so she is not still sleeping.",1,20260824T093740Z_5937923c
1115,The movie coming out next week means it is not being released today.,1,20260824T093740Z_5937923c
1116,Having used a drill before indicates experience with it.,7,20260824T093740Z_5937923c
1117,Celebrating tonight instead of tomorrow means the birthday party is not tomorrow.,1,20260824T093740Z_5937923c
1118,Moving out tomorrow indicates they are leaving their flat soon.,7,20260824T093740Z_5937923c
1119,Always falling behind is a characteristic of a slacker.,7,20260824T093740Z_5937923c
1120,"Being famous for surfing indicates the area is popular for something, specifically surfing.",7,20260824T093740Z_5937923c
1121,The sea being quite rough implies it is not calm.,1,20260824T093740Z_5937923c
1122,Working at an NGO implies not working for a corporate company.,1,20260824T093740Z_5937923c
1123,Having authored many successful books is a strong indication of being a writer.,7,20260824T093740Z_5937923c
1124,Still analyzing the data means they are not finished working on it.,1,20260824T093740Z_5937923c
1125,Being an endangered species implies there are not many pandas left.,7,20260824T093740Z_5937923c
1126,Having enrolled at the gym is a step towards joining a fitness studio.,7,20260824T093740Z_5937923c
1127,The thesis not being complete yet means they haven't finished writing it.,1,20260824T093740Z_5937923c
1128,Having had very long hair in the past aligns with having long hair previously.,7,20260824T093740Z_5937923c
1129,"It being a business trip doesn't directly answer if they went for vacation, but implies the trip wasn't for vacation.",1,20260824T093740Z_5937923c
1130,Needing a larger flat implies a one-room flat is not enough.,7,20260824T093740Z_5937923c
1131,The deadline being tomorrow indicates she has to hand in soon.,7,20260824T093740Z_5937923c
1132,Having slept only four hours indicates a short night.,7,20260824T093740Z_5937923c
1133,The offer having expired means the flight was not still discounted.,1,20260824T093740Z_5937923c
1134,The cat getting wounded means it is hurt.,7,20260824T093740Z_5937923c
1135,Mark still being missing implies not everyone is there.,1,20260824T093740Z_5937923c
1137,Being Chinese indicates origin from Asia.,7,20260824T093740Z_5937923c
1138,"The line going dead could be a reason for hanging up or an involuntary disconnection, but it implies the call ended.",7,20260824T093740Z_5937923c
1139,Having domestics implies someone is taking care of their house.,7,20260824T093740Z_5937923c
1140,Having just opened means the bar has not been there for long.,1,20260824T093740Z_5937923c
1141,The house being full of history books suggests a passion or a large collection related to history.,7,20260824T093740Z_5937923c
1143,Having only a few guests over for dinner implies it's not a large gathering.,1,20260824T093740Z_5937923c
1144,Having only one week off work means they don't have two weeks of holiday.,1,20260824T093740Z_5937923c
1145,Being going to have a baby is a clear indication of being pregnant.,7,20260824T093740Z_5937923c
1147,Still owing the bank money means they haven't paid back their debts.,1,20260824T093740Z_5937923c
1148,Having only had water implies not drinking a cocktail.,1,20260824T093740Z_5937923c
1149,"Owning an orchard is related to having a garden, though it's more specific to fruit trees.",5,20260824T093740Z_5937923c
1150,Being 25 years old is considered adult age and not underage in most contexts.,1,20260824T093740Z_5937923c
1151,The tuition fee being extremely expensive implies Harvard is not affordable.,1,20260824T093740Z_5937923c
1152,Having made a bank transfer recently is a strong indication of having paid.,7,20260824T093740Z_5937923c
1153,Not being able to swim yet means the kids are not good at swimming.,1,20260824T093740Z_5937923c
1154,Being healthy again implies they no longer have a cold.,1,20260824T093740Z_5937923c
1155,Not being allowed to get closer implies it is forbidden to approach the area.,7,20260824T093740Z_5937923c
1156,Having watered the plants regularly indicates someone took care of them.,7,20260824T093740Z_5937923c
1157,Being already dead by then means the artist was not alive in the 80s.,1,20260824T093740Z_5937923c
1158,The ice layer being quite thick is a strong indication that the lake is frozen.,7,20260824T093740Z_5937923c
1159,Being in the advanced course implies they are not in the beginners' class.,1,20260824T093740Z_5937923c
1160,Having seen a doctor is a direct indication of having sought medical advice.,7,20260824T093740Z_5937923c
1161,Having gone out with friends implies they did not stay home.,1,20260824T093740Z_5937923c
1162,Having voted yesterday is a clear indication of an election having taken place recently.,7,20260824T093740Z_5937923c
1163,Being spotless is a strong indication that the car is clean.,7,20260824T093740Z_5937923c
1164,Having submitted a blank sheet implies they did not answer all questions.,1,20260824T093740Z_5937923c
1165,Having just got into the changing room implies she was on the tennis field before that.,7,20260824T093740Z_5937923c
1166,"Being compensated is a positive outcome that could result from getting money back, though it's not direct.",5,20260824T093740Z_5937923c
1167,No one having responded implies they haven't received any answers to their house sale ad.,1,20260824T093740Z_5937923c
1168,Not playing any instrument is a clear indication of not being a musician.,1,20260824T093740Z_5937923c
1169,Having been in Japan for several months is a significant experience in Asia.,7,20260824T093740Z_5937923c
1170,Aiming for the mountain top aligns with the goal being the summit.,7,20260824T093740Z_5937923c
1171,The customer having received the package is a direct confirmation it was delivered.,7,20260824T093740Z_5937923c
1173,Skipping lessons implies not attending the whole course.,1,20260824T093740Z_5937923c
1174,Having a poor monitor resolution is related to the screen having a bad image.,7,20260824T093740Z_5937923c
1175,Graduating from medical school is a strong indication of having completed medical studies.,7,20260824T093740Z_5937923c
1176,Being a private property implies it is not a public building.,1,20260824T093740Z_5937923c
1201,Not having seen Martin for ages doesn't directly imply the current state of their friendship.,4,20260824T093740Z_5937923c
1202,Sending out an application is a step in looking for a job.,7,20260824T093740Z_5937923c
1203,"Training with Lukas at the gym indicates interaction with him, but doesn't directly confirm knowing him.",5,20260824T093740Z_5937923c
1204,The grandfather's recent passing doesn't directly relate to the property's current ownership.,4,20260824T093740Z_5937923c
1205,Being about 1000 Km away implies it takes long to drive there.,7,20260824T093740Z_5937923c
1206,"A six-hour drive is considered long, so Munich is far.",7,20260824T093740Z_5937923c
1207,The train having some delay implies they won't be home by noon if the delay is significant.,1,20260824T093740Z_5937923c
1208,Still having some cereal left doesn't directly imply they haven't bought cereal; they might have.,4,20260824T093740Z_5937923c
1209,"The essay not being due for three months implies they might not have started it yet, but it's not a must.",1,20260824T093740Z_5937923c
1210,The streets being always congested implies there could be traffic issues that might cause lateness.,7,20260824T093740Z_5937923c
1211,Being vegetarian means Megan wouldn't typically go to a steak house.,1,20260824T093740Z_5937923c
1212,Having the flu is a valid reason for staying home.,7,20260824T093740Z_5937923c
1213,"Running for hours daily suggests a high level of commitment, possibly indicating registration for a marathon.",5,20260824T093740Z_5937923c
1214,Having just woken up implies Clara hadn't had breakfast yet.,1,20260824T093740Z_5937923c
1215,The movie coming out next week means they haven't seen it yet.,1,20260824T093740Z_5937923c
1216,Having used a drill before indicates knowledge of how to use it.,7,20260824T093740Z_5937923c
1217,"Celebrating could be for passing an exam, but it's not a direct correlation; they might be celebrating something else.",4,20260824T093740Z_5937923c
1218,"Moving out tomorrow could be related to breaking up, but it's not a direct indication.",5,20260824T093740Z_5937923c
1219,"Always falling behind could be a reason for being fired, but it's not a direct confirmation.",5,20260824T093740Z_5937923c
1220,Being famous for surfing implies there are big waves.,7,20260824T093740Z_5937923c
1221,The sea being quite rough implies it's not safe to swim.,1,20260824T093740Z_5937923c
1222,Working at an NGO doesn't directly imply their income level.,4,20260824T093740Z_5937923c
1223,"Having authored successful books could imply fame, depending on the context and success level.",5,20260824T093740Z_5937923c
1224,Still analyzing the data means they haven't presented it yet.,1,20260824T093740Z_5937923c
1225,"Being an endangered species implies legal protections, likely making it illegal to hunt them.",7,20260824T093740Z_5937923c
1226,"Having enrolled at the gym is a step that could lead to losing weight, but it's not a direct result.",5,20260824T093740Z_5937923c
1227,The thesis not being complete yet means they haven't graduated.,1,20260824T093740Z_5937923c
1228,"Having had very long hair implies a change, possibly a haircut.",7,20260824T093740Z_5937923c
1229,It being a business trip doesn't necessarily mean they didn't have time for sightseeing.,4,20260824T093740Z_5937923c
1230,Needing a larger flat implies the one-room flat was not sufficient or bought.,7,20260824T093740Z_5937923c
1231,The deadline being tomorrow is a strong stressor.,7,20260824T093740Z_5937923c
1232,Having slept only four hours is a sign of being tired.,7,20260824T093740Z_5937923c
1233,The offer having expired implies they might not have booked the flight if they were waiting for that offer.,1,20260824T093740Z_5937923c
1234,The cat getting wounded is a valid reason for bringing it to the vet.,7,20260824T093740Z_5937923c
1235,Mark still being missing implies they are not ready to go.,1,20260824T093740Z_5937923c
1237,"Being Chinese might imply knowledge of cooking Cantonese rice, but it's not a direct correlation.",5,20260824T093740Z_5937923c
1238,"The line going dead could be a reason for not telling him, but it's more about the call being disconnected.",4,20260824T093740Z_5937923c
1239,Having domestics could imply a tidy house if they are responsible for maintaining it.,5,20260824T093740Z_5937923c
1240,Having just opened means they haven't tried the bar yet.,1,20260824T093740Z_5937923c
1241,Having a house full of history books suggests a passion for history.,7,20260824T093740Z_5937923c
1243,The number of guests doesn't directly relate to the saucepan's size being enough.,4,20260824T093740Z_5937923c
1244,Having only one week off work means they won't take a two-week trip.,1,20260824T093740Z_5937923c
1245,Being pregnant often involves avoiding alcohol.,7,20260824T093740Z_5937923c
1247,Still owing money implies they haven't paid back their debts.,1,20260824T093740Z_5937923c
1248,Having only had water implies not being drunk.,1,20260824T093740Z_5937923c
1249,Owning an orchard implies they could buy fruit from it.,7,20260824T093740Z_5937923c
1250,Being 25 years old is not underage.,1,20260824T093740Z_5937923c
1251,The tuition fee being extremely expensive makes Harvard not an affordable option.,1,20260824T093740Z_5937923c
1252,"Having made a bank transfer is a strong indication of accepting a deal, assuming it's related.",7,20260824T093740Z_5937923c
1253,Not being able to swim yet means they didn't go to the swimming pool effectively.,1,20260824T093740Z_5937923c
1254,Being healthy again implies not taking those pills anymore.,7,20260824T093740Z_5937923c
1255,"Not being allowed to get closer implies the area is restricted, possibly due to contamination.",7,20260824T093740Z_5937923c
1256,Having watered the plants regularly indicates they are still alive.,7,20260824T093740Z_5937923c
1257,Being already dead by then means the artwork wasn't created by him in 1981.,1,20260824T093740Z_5937923c
1258,The ice layer being thick is a strong indication it's ice skating season.,7,20260824T093740Z_5937923c
1259,Being in the advanced course implies not being a beginner.,1,20260824T093740Z_5937923c
1260,Having seen a doctor implies having been sick or having health concerns.,7,20260824T093740Z_5937923c
1261,Having gone out implies not going to bed early.,1,20260824T093740Z_5937923c
1262,Having voted yesterday is a clear indication that members can elect a representative.,7,20260824T093740Z_5937923c
1263,Being spotless could imply the car is back from the car wash or well-maintained.,7,20260824T093740Z_5937923c
1264,Submitting a blank sheet is a sign of not having written a good exam.,1,20260824T093740Z_5937923c
1265,Having just got into the changing room implies she was dressed for the tennis game before that.,7,20260824T093740Z_5937923c
1266,Being compensated is a positive outcome that could result from settling a lawsuit.,7,20260824T093740Z_5937923c
1267,No one having responded to the house sale ad implies they haven't sold it.,1,20260824T093740Z_5937923c
1268,Not playing any instrument implies not being part of a marching band that requires an instrument.,1,20260824T093740Z_5937923c
1269,Having been in Japan for months implies potential exposure to sushi.,7,20260824T093740Z_5937923c
1270,Aiming for the mountain top implies the path is likely uphill.,7,20260824T093740Z_5937923c
1271,The customer having received the package confirms it was shipped.,7,20260824T093740Z_5937923c
1273,Skipping lessons implies not being very dedicated.,1,20260824T093740Z_5937923c
1274,Having a poor monitor resolution could cause eye strain.,7,20260824T093740Z_5937923c
1275,Graduating from medical school is a strong indication of being a medical doctor.,7,20260824T093740Z_5937923c
1276,"Being a private property implies restricted access, not being open to the public.",1,20260824T093740Z_5937923c
2101,Needing to revise topics implies they have to study for the test.,7,20260824T093740Z_5937923c
2102,There being an interesting new movie implies something has come out recently.,7,20260824T093740Z_5937923c
2103,It being quite chilly implies it is cold.,7,20260824T093740Z_5937923c
2105,Having heard good things about the book implies some knowledge or interest in it.,7,20260824T093740Z_5937923c
2106,"Having pulled a muscle last time implies a past injury, possibly at yoga class.",7,20260824T093740Z_5937923c
2107,Not being able to find their phone implies having lost it.,7,20260824T093740Z_5937923c
2108,The temperature being minus 20 degrees is very cold.,7,20260824T093740Z_5937923c
2109,Having just entered a church implies being in a religious building.,7,20260824T093740Z_5937923c
2110,Training very hard implies their workouts are difficult.,7,20260824T093740Z_5937923c
2113,Having been working on an exhausting task implies they were working.,7,20260824T093740Z_5937923c
2114,Not having brought their bikini implies they didn't prepare for swimming.,1,20260824T093740Z_5937923c
2115,Not having time implies they are not free.,1,20260824T093740Z_5937923c
2116,"Having watched 'Titanic' last month implies they watched it, just not yesterday.",1,20260824T093740Z_5937923c
