id,score,rationale
1101,2,Not seeing Martin for ages strongly implies the answer is no to having met him lately.
1102,5,"Sending out an application suggests the person is currently doing something, so this is likely yes."
1103,7,Training with Lukas at the gym directly answers that they usually exercise together.
1104,7,Saying the grandfather passed away recently clearly indicates a death in the family.
1105,7,Saying Paris is about 1000 km away directly answers that it is very far.
1106,7,A six hour drive clearly means it takes a long time to get there.
1107,2,"A delay means the journey is not going as planned, so this is likely no."
1108,2,"If there is still some cereal left, they have not finished it."
1109,1,"If it is not due for three months, then the deadline is not next week."
1110,7,Always congested with cars directly supports that there is usually a lot of traffic.
1111,7,Being vegetarian means she does not eat meat.
1112,7,Having the flu clearly means John is sick.
1113,7,Running for hours every day strongly indicates daily training.
1114,1,"If she just woke up, she is not still sleeping."
1115,1,"If it comes out next week, it is not being released today."
1116,6,"Having used a drill before strongly suggests prior experience, so yes."
1117,2,"Celebrating tonight suggests the party is tonight, not tomorrow."
1118,7,Moving out tomorrow directly answers that they are leaving soon.
1119,6,"Always falling behind strongly suggests he is a slacker, though it is slightly inferential."
1120,7,Being famous for surfing directly answers that the area is popular for something.
1121,1,"Quite rough is the opposite of calm, so this is no."
1122,1,Working at an NGO means not working for a corporate company.
1123,7,Authoring many successful books directly indicates he is a writer.
1124,1,Still analyzing it means they are not finished working on the data.
1125,6,Calling pandas an endangered species strongly implies there are not many left.
1126,7,Enrolled at the gym directly means they joined a fitness studio.
1127,1,"If the thesis is not complete yet, it has not been finished."
1128,6,Saying the hair was way too long strongly suggests they used to have long hair.
1129,1,"A business trip is not a vacation, so this is no."
1130,1,Needing a larger one means a one-room flat is not enough.
1131,7,"If the deadline is tomorrow, then she has to hand it in soon."
1132,7,Sleeping only four hours clearly indicates a short night.
1133,1,"If the offer had already expired, the flight was not still discounted."
1134,7,Got wounded directly means the cat is hurt.
1135,1,"If Mark is still missing, then not everyone is here."
1137,6,"Being Chinese implies coming from Asia, though it is slightly indirect."
1138,2,"The line went dead suggests the call ended, but it does not directly confirm the person hung up."
1139,6,Having domestics strongly suggests someone is taking care of the house.
1140,1,Just opened means it has not been there for long.
1141,7,A house full of history books strongly indicates he owns many books.
1143,7,Only a few guests over for dinner directly means there is a small gathering.
1144,1,Only one week off means they do not have two weeks of holiday.
1145,7,Going to have a baby directly implies pregnancy.
1147,1,Still owing the bank money means the debts have not been paid back.
1148,1,Only having water means he did not drink a cocktail.
1149,2,"Owning an orchard does not imply having a vegetable garden, so this is likely no."
1150,1,Being 25 years old means he is not underage.
1151,1,Extremely expensive tuition means Harvard is not affordable.
1152,7,A bank transfer a few moments ago directly means she paid them.
1153,1,"If they cannot swim yet, they are not good at swimming."
1154,7,Being healthy again means the cold is gone.
1155,7,Not allowed to get closer directly means it is forbidden to approach.
1156,7,Watered them regularly strongly indicates someone took care of the plants.
1157,7,"If he was already dead by then, he was not alive in the 80s."
1158,6,A thick ice layer strongly suggests the lake is frozen.
1159,1,Being in the advanced course means they are not a beginner.
1160,7,Seeing a doctor directly answers that medical advice was sought.
1161,1,Going out with friends means they did not stay home.
1162,7,Voting yesterday directly indicates there was an election recently.
1163,7,Spotless directly means completely clean.
1164,1,Submitting a blank sheet means they did not answer all questions.
1165,1,Just getting into the changing room means she is not yet out on the tennis field.
1166,6,"Being compensated suggests he got the money back, though it is slightly indirect."
1167,1,No one has responded means nobody answered the ad.
1168,1,Not playing any instrument means he is not a musician.
1169,5,"Being in Japan for several months suggests travel in Asia, but it is not fully explicit."
1170,7,Aiming for the mountain top directly means the goal is the summit.
1171,7,The customer received it directly means the package was delivered.
1173,1,Skipping the last four lessons means she did not attend the whole course.
1174,6,A really poor resolution strongly suggests the screen has a bad image.
1175,7,Graduating from medical school last year directly means she completed her medical studies.
1176,1,Private property means it is not a public building.
1201,2,"Not seeing him for ages suggests they are not still good friends, or at least not in contact."
1202,5,Sending out an application suggests they are looking for a job.
1203,5,"Training with Lukas implies they know him, but it is not a direct yes to knowing him."
1204,2,"The grandfather passing away does not directly answer whether it is his property now, so this is mostly irrelevant."
1205,7,Saying it is about 1000 km away directly means it takes long to drive there.
1206,7,A six hour drive directly indicates Munich is far from here.
1207,2,"A train delay suggests they may not be home by noon, so likely no."
1208,2,"If there is still some left, they have not bought cereal yet or at least not finished it; this leans no."
1209,1,"If it is not due for three months, they have not started writing the essay in the sense implied by the question."
1210,6,Congested streets strongly suggest they will be late to the cinema.
1211,1,Being vegetarian means she is unlikely to come to a steak house.
1212,7,Having the flu directly means John is staying home.
1213,6,Running for hours every day strongly suggests she has registered for the marathon.
1214,1,Just waking up means she did not have breakfast already.
1215,1,"If it comes out next week, they have not seen it yet."
1216,6,Having used one before strongly suggests they know how to use a drill.
1217,1,"Celebrating tonight does not fit having failed the exam, so no."
1218,2,"Moving out tomorrow suggests a breakup, but it is not explicit enough to be a clear yes."
1219,6,"Always falling behind strongly suggests he was fired, though it is inferential."
1220,6,Being famous for surfing strongly suggests there are big waves here.
1221,1,Quite rough means the sea is not safe to swim in.
1222,1,Working at an NGO usually implies not making a lot of money.
1223,6,Having authored many successful books strongly suggests he is famous.
1224,1,Still analyzing it means they did not present the data at the meeting.
1225,1,Endangered species means hunting pandas is not legal.
1226,5,"Enrolling at the gym suggests an attempt to lose weight, but it is not direct."
1227,1,"If the thesis is not complete yet, they have not graduated."
1228,2,"Saying the hair was way too long suggests it may have been cut, but it is not explicit."
1229,1,A business trip means it was not for sightseeing vacation.
1230,1,Needing a larger one means they did not buy that one-room flat.
1231,6,A deadline tomorrow strongly suggests she is stressed about the project.
1232,6,Sleeping only four hours strongly suggests tiredness.
1233,1,"If the offer had already expired, he did not book the flight under that offer."
1234,7,Got wounded directly means the cat should go to the vet.
1235,1,"If Mark is still missing, they are not ready to go."
1237,5,"Being Chinese suggests ability to cook Cantonese rice, but it is not guaranteed."
1238,2,"The line went dead means the conversation ended, but it does not directly confirm telling him about the issue."
1239,6,Having domestics strongly suggests the house is tidy.
1240,1,Just opened means they have not tried the bar yet.
1241,6,A house full of history books strongly suggests a passion for history.
1243,2,"Few guests over for dinner suggests the saucepan may be enough, but it does not directly answer size."
1244,1,Only one week off means they will not take a two-week trip.
1245,7,Going to have a baby directly implies avoiding alcohol.
1247,1,Still owing the bank money means they did not get a new loan or at least have not paid it back.
1248,1,Only having water means he was not drunk.
1249,1,Owning an orchard does not mean buying fruit in the supermarket.
1250,1,Being 25 years old means he is not at elementary school age.
1251,1,Extremely expensive tuition means Harvard is not an affordable option.
1252,7,A bank transfer a few moments ago directly means she accepted the deal.
1253,1,"If they cannot swim yet, they did not go to the swimming pool for swimming ability."
1254,7,Being healthy again means they are no longer taking those pills.
