id,rationale,score,run_id
1101,"Person B says they haven't seen him for ages, which implies they have not met him lately.",1,20260824T093740Z_5937923c
1102,"Person B is currently sending an application, which answers 'yes' to doing something right now.",7,20260824T093740Z_5937923c
1103,"Person B confirms they train with him at the gym, which answers 'yes' to the question of whether they usually exercise together.",7,20260824T093740Z_5937923c
1104,"Person B confirms a death in the family (grandfather), which answers 'yes' to the question.",7,20260824T093740Z_5937923c
1105,"Person B provides a distance, which answers the question about how far it is, but doesn't directly answer 'yes' or 'no' to 'is it far'. However, 1000km is generally considered far, so it's a 'yes'.",7,20260824T093740Z_5937923c
1106,"Person B says it is a six hour drive, which answers the question about whether it takes long (implying 'yes').",6,20260824T093740Z_5937923c
1107,"Person B says there is a delay, which implies the journey is not going as planned, answering 'no'.",1,20260824T093740Z_5937923c
1108,"Person B says there is still some left, which implies they have not finished, answering 'no'.",1,20260824T093740Z_5937923c
1109,"Person B says it is not due for three months, which answers 'no' to it being due next week.",1,20260824T093740Z_5937923c
1110,"Person B says streets are always congested, which answers 'yes' to whether there is usually a lot of traffic.",7,20260824T093740Z_5937923c
1111,"Person B says she is vegetarian, which answers 'no' to whether she eats meat.",1,20260824T093740Z_5937923c
1112,"Person B says he has the flu, which answers 'yes' to whether he is sick.",7,20260824T093740Z_5937923c
1113,"Person B says she runs every day, which answers 'yes' to whether she trains daily.",7,20260824T093740Z_5937923c
1114,"Person B says she just woke up, which answers 'no' to whether she is still sleeping.",1,20260824T093740Z_5937923c
1115,"Person B says it comes out next week, which answers 'no' to whether it is released today.",1,20260824T093740Z_5937923c
1116,"Person B says they have used one before, which answers 'yes' to having worked with a drill.",7,20260824T093740Z_5937923c
1117,"Person B says they are celebrating tonight, which implies the party is not tomorrow, answering 'no'.",1,20260824T093740Z_5937923c
1118,"Person B says they are moving out tomorrow, which implies they are leaving the flat soon, answering 'yes'.",7,20260824T093740Z_5937923c
1119,"Person B says he was always falling behind, which supports the description of a slacker, answering 'yes'.",6,20260824T093740Z_5937923c
1120,"Person B says the region is famous for surfing, which answers 'yes' to the area being popular for something.",7,20260824T093740Z_5937923c
1121,"Person B says it is quite rough, which answers 'no' to the sea being calm.",1,20260824T093740Z_5937923c
1122,"Person B says their job is at an NGO, which answers 'no' to working for a corporate company.",1,20260824T093740Z_5937923c
1123,"Person B says he has authored many books, which answers 'yes' to him being a writer.",7,20260824T093740Z_5937923c
1124,"Person B says they are still analyzing it, which answers 'no' to being finished.",1,20260824T093740Z_5937923c
1125,"Person B says they are an endangered species, which answers 'yes' to whether there are many left (in the context of conservation concern).",5,20260824T093740Z_5937923c
1126,"Person B says they enrolled at the gym, which answers 'yes' to joining a fitness studio.",7,20260824T093740Z_5937923c
1127,"Person B says it is not complete yet, which answers 'no' to having finished.",1,20260824T093740Z_5937923c
1128,"Person B says their hair was way too long, which answers 'yes' to having had long hair.",7,20260824T093740Z_5937923c
1129,"Person B says it was a business trip, which answers 'no' to it being a vacation.",1,20260824T093740Z_5937923c
1130,"Person B says they need a larger one, which answers 'no' to a one room flat being enough.",1,20260824T093740Z_5937923c
1131,"Person B says the deadline is tomorrow, which answers 'yes' to having to hand it in soon.",7,20260824T093740Z_5937923c
1132,"Person B says they slept only four hours, which answers 'yes' to having a short night.",7,20260824T093740Z_5937923c
1133,"Person B says the offer expired, which answers 'no' to the flight being still discounted.",1,20260824T093740Z_5937923c
1134,"Person B says it got wounded, which answers 'yes' to the cat being hurt.",7,20260824T093740Z_5937923c
1135,"Person B says Mark is missing, which answers 'no' to everyone being here.",1,20260824T093740Z_5937923c
1137,"Person B says they are Chinese, which answers 'yes' to coming from Asia.",7,20260824T093740Z_5937923c
1138,"Person B says the line went dead, which explains why the call ended, answering 'yes' to having hung up (or the call being disconnected).",4,20260824T093740Z_5937923c
1139,"Person B says they have domestics, which answers 'yes' to someone taking care of the house.",7,20260824T093740Z_5937923c
1140,"Person B says they have just opened, which answers 'no' to the bar being there for long.",1,20260824T093740Z_5937923c
1141,"Person B says the house is full of history books, which answers 'yes' to him owning many books.",7,20260824T093740Z_5937923c
1143,"Person B says they have only a few guests, which answers 'yes' to it being a small gathering.",7,20260824T093740Z_5937923c
1144,"Person B says they only have one week off, which answers 'no' to having two weeks of holiday.",1,20260824T093740Z_5937923c
1145,"Person B says they are going to have a baby, which answers 'yes' to being pregnant.",7,20260824T093740Z_5937923c
1147,"Person B says they still owe money, which answers 'no' to having paid back debts.",1,20260824T093740Z_5937923c
1148,"Person B says he only had water, which answers 'no' to him drinking a cocktail.",1,20260824T093740Z_5937923c
1149,"Person B says they own an orchard, which answers 'no' to having a vegetable garden.",1,20260824T093740Z_5937923c
1150,"Person B says he is 25, which answers 'no' to being underage.",1,20260824T093740Z_5937923c
1151,"Person B says it is extremely expensive, which answers 'no' to it being affordable.",1,20260824T093740Z_5937923c
1152,"Person B says she made a transfer, which answers 'yes' to having paid.",7,20260824T093740Z_5937923c
1153,"Person B says they cannot swim yet, which answers 'no' to being good at swimming.",1,20260824T093740Z_5937923c
1154,"Person B says they are healthy again, which answers 'no' to still having a cold.",1,20260824T093740Z_5937923c
1155,"Person B says people are not allowed to get closer, which answers 'yes' to it being forbidden.",7,20260824T093740Z_5937923c
1156,"Person B says they have watered them, which answers 'yes' to someone taking care of the plants.",7,20260824T093740Z_5937923c
1157,"Person B says he was already dead, which answers 'no' to being alive in the 80s.",1,20260824T093740Z_5937923c
1158,"Person B says the ice layer is thick, which answers 'yes' to the lake being frozen.",7,20260824T093740Z_5937923c
1159,"Person B says they are in the advanced course, which answers 'no' to being in the beginners' class.",1,20260824T093740Z_5937923c
1160,"Person B says they have seen a doctor, which answers 'yes' to having sought medical advice.",7,20260824T093740Z_5937923c
1161,"Person B says they went out, which answers 'no' to staying home.",1,20260824T093740Z_5937923c
1162,"Person B says they voted yesterday, which answers 'yes' to there being an election recently.",7,20260824T093740Z_5937923c
1163,"Person B says it is spotless, which answers 'yes' to it being completely clean.",7,20260824T093740Z_5937923c
1164,"Person B says they submitted a blank sheet, which answers 'no' to having answered all questions.",1,20260824T093740Z_5937923c
1165,"Person B says she just got into the changing room, which implies she is not currently on the field, answering 'no'.",1,20260824T093740Z_5937923c
1166,"Person B says he was compensated, which answers 'yes' to getting the money back.",7,20260824T093740Z_5937923c
1167,"Person B says no one has responded, which answers 'no' to anyone answering the ad.",1,20260824T093740Z_5937923c
1168,"Person B says he does not play any instrument, which answers 'no' to him being a musician.",1,20260824T093740Z_5937923c
1169,"Person B says he has been in Japan, which answers 'yes' to having travelled in Asia.",7,20260824T093740Z_5937923c
1170,"Person B says they are aiming for the mountain top, which answers 'yes' to the goal being the summit.",7,20260824T093740Z_5937923c
1171,"Person B says the customer received it, which answers 'yes' to the customer getting the package.",7,20260824T093740Z_5937923c
