id,score,rationale
1101,2,"Person A asks whether Person B has met Martin lately. Person B replies they have not seen him for ages, which directly indicates no recent meeting."
1102,7,"Person A asks if Person B is doing something right now. Person B answers that they are sending out an application, which is clearly an ongoing action."
1103,7,"Person A asks if Person B usually exercises with Lukas. Person B says they train with him at the gym, confirming the usual practice."
1104,7,"Person A asks whether there was a death in his family. Person B states that his grandfather passed away recently, which is a clear yes."
1105,7,"Person A asks if Paris is very far from here. Person B gives a distance (~1000 km), supporting that it is far."
1106,6,"Person A asks if it takes long to get to Munich. Person B says it is a six hour drive, which strongly implies it takes a long time."
1107,2,"Person A asks if the journey is going as planned. Person B says the train has some delay, indicating it is not going as planned."
1108,2,"Person A asks if they have finished their cereal. Person B says there is still some left, so the answer is no."
1109,2,"Person A asks if the essay deadline is next week. Person B says it is not due for three months, which contradicts next week."
1110,7,"Person A asks if there is usually a lot of traffic. Person B says the streets are always congested, confirming yes."
1111,7,"Person A asks if Megan eats meat. Person B says she is vegetarian, which means no."
1112,7,"Person A asks if John is sick today. Person B says he has the flu, a direct yes."
1113,7,"Person A asks if Sonya trains daily. Person B says she runs for hours every day, confirming yes."
1114,2,"Person A asks if Clara is still sleeping. Person B says she just woke up, so it is no."
1115,2,"Person A asks if the movie will be released today. Person B says it comes out next week, so the answer is no."
1116,5,"Person A asks if Person B has ever worked with a drill. Person B says they have used one before, which indicates yes (though not necessarily extensive experience)."
1117,2,"Person A asks if the birthday party takes place tomorrow. Person B says they are celebrating tonight, so it is not tomorrow."
1118,7,"Person A asks if Person B is leaving their flat soon. Person B says they are moving out tomorrow, which is soon/yes."
1119,5,"Person A asks if he is a slacker. Person B says he was always falling behind, which suggests unreliability/slacking, leaning yes."
1120,6,"Person A asks if the area is popular for something. Person B says the region is famous for surfing, which supports yes strongly."
1121,2,"Person A asks if the sea is calm these days. Person B says it is quite rough, indicating no."
1122,2,"Person A asks if Person B works for a corporate company. Person B says their job is at an NGO, so no."
1123,7,"Person A asks if he is a writer. Person B says he has authored many successful books, confirming yes."
1124,2,"Person A asks if Person B is finished working on their data. Person B says they are still analyzing it, so no."
1125,5,"Person A asks if there are many pandas left in the world. Person B says they are an endangered species, implying few remain, so this is more like no (but not explicitly 'few')."
1126,6,"Person A asks if Person B has joined a fitness studio. Person B says they have enrolled at the gym, which is a clear yes."
1127,2,"Person A asks if Person B has finished writing their thesis. Person B says the thesis is not complete yet, so no."
1128,5,"Person A asks if Person B used to have long hair. Person B says their hair was way too long, indicating yes."
1129,2,"Person A asks if Person B went to Japan for vacation. Person B says it was a business trip, so no."
1130,2,"Person A asks if a one-room flat is enough. Person B says they need a larger one, so no."
1131,7,"Person A asks if she has to hand in soon. Person B says the deadline is tomorrow, which is soon/yes."
1132,7,"Person A asks if Person B had a short night. Person B says they slept only four hours, confirming yes."
1133,2,"Person A asks if the flight was still discounted. Person B says the offer had already expired, so no."
1134,6,"Person A asks if the cat is hurt. Person B says it got wounded, which is a strong yes."
1135,2,"Person A asks if everyone is here. Person B says Mark is still missing, so no."
1137,7,"Person A asks if Person B comes from Asia. Person B says they are Chinese, which implies yes."
1138,6,"Person A asks if Person B hung up. Person B says the line went dead, which strongly indicates yes."
1139,5,"Person A asks if someone is taking care of their house. Person B says they have domestics, implying yes (house staff)."
1140,2,"Person A asks if that bar has been here for long. Person B says they have just opened, so no."
1141,6,"Person A asks if he owns many books. Person B says the house is full of history books, indicating yes."
1143,5,"Person A asks if there is a small gathering tonight. Person B says they have only few guests over for dinner, which supports yes."
1144,2,"Person A asks if Person B has two weeks of holiday. Person B says they only have one week off, so no."
1145,7,"Person A asks if Person B is pregnant. Person B says they are going to have a baby, confirming yes."
1147,2,"Person A asks if Person B has paid back their debts. Person B says they still owe the bank money, so no."
1148,2,"Person A asks if he drank a cocktail tonight. Person B says he only had water, so no."
1149,2,"Person A asks if Person B has a vegetable garden. Person B says they own an orchard, which does not confirm a vegetable garden."
1150,2,"Person A asks if the son is underage. Person B says he is 25 years old, so no."
1151,2,"Person A asks if Harvard University is affordable. Person B says tuition is extremely expensive, so no."
1152,6,"Person A asks if she has paid us yet. Person B says she made a bank transfer a few moments ago, indicating yes."
1153,2,"Person A asks if the kids are good at swimming. Person B says they cannot swim yet, so no."
1154,2,"Person A asks if Person B still has a cold. Person B says they are healthy again, so no."
1155,7,"Person A asks if it is forbidden to approach the area. Person B says people are not allowed to get closer, confirming yes."
1156,5,"Person A asks if someone took care of the plants. Person B says they watered them regularly, implying yes."
1157,2,"Person A asks if the artist was still alive in the 80s. Person B says he was already dead by then, so no."
