id,score
1101,0.0
1102,1.0
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1107,0.0
1108,0.0
1109,0.0
1110,1.0
1111,0.0
1112,1.0
1113,1.0
1114,0.0
1115,0.0
1116,1.0
1117,0.0
1118,1.0
1119,0.5
1120,1.0
1121,0.0
1122,0.0
1123,1.0
1124,0.0
1125,1.0
1126,1.0
1127,0.0
1128,1.0
1129,0.0
1130,0.0
1131,1.0
1132,1.0
1133,0.0
1134,1.0
1135,0.0
1137,1.0
1138,0.5
1139,1.0
1140,0.0
1141,1.0
1143,1.0
1144,0.0
1145,1.0
1147,0.0
1148,0.0
1149,1.0
1150,0.0
1151,0.0
1152,1.0
1153,0.0
1154,0.0
1155,1.0
1156,1.0
1157,0.0
1158,1.0
1159,0.0
1160,1.0
1161,0.0
1162,1.0
1163,1.0
1164,0.0
1165,0.0
1166,1.0
1167,0.0
1168,0.0
1169,1.0
1170,1.0
1171,1.0
1173,0.0
1174,0.5
1175,1.0
1176,0.0
2101,1.0
2102,1.0
2103,1.0
2105,1.0
2106,1.0
2107,0.5
2108,1.0
2109,1.0
2110,1.0
2113,1.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,1.0
2123,0.0
2124,0.0
2125,0.0
2127,0.0
2128,0.0
2129,1.0
2130,0.0
2131,0.0
2132,1.0
2134,0.0
2135,0.0
2136,1.0
2137,0.0
2138,1.0
2139,0.0
2140,1.0
2141,1.0
2144,1.0
2145,1.0
2146,0.0
2147,1.0
2148,1.0
2149,0.0
2150,0.0
2151,0.0
2152,0.0
2153,1.0
2155,0.0
2156,1.0
2157,0.0
2159,1.0
2160,1.0
2161,1.0
2162,1.0
2163,0.0
2164,0.0
2165,1.0
2166,1.0
2167,1.0
2168,0.5
2169,0.0
2170,0.0
2171,0.0
2172,1.0
2173,0.0
2174,1.0
2175,1.0
1201,0.0
1202,1.0
1203,1.0
1204,1.0
1205,1.0
1206,1.0
1207,0.0
1208,0.0
1209,0.0
1210,1.0
1211,0.0
1212,1.0
1213,1.0
1214,0.0
1215,0.0
1216,1.0
1217,0.0
1218,1.0
1219,0.5
1220,1.0
1221,0.0
1222,0.0
1223,1.0
1224,0.0
1225,1.0
1226,1.0
1227,0.0
1228,1.0
1229,0.0
1230,0.0
1231,1.0
1232,1.0
1233,0.0
1234,1.0
1235,0.0
1237,1.0
1238,0.5
1239,1.0
1240,0.0
1241,1.0
1243,1.0
1244,0.0
1245,1.0
1247,0.0
1248,0.0
1249,1.0
1250,0.0
1251,0.0
1252,1.0
1253,0.0
1254,0.0
1255,1.0
1256,1.0
1257,0.0
1258,1.0
1259,0.0
1260,1.0
1261,0.0
1262,1.0
1263,1.0
1264,0.0
1265,0.0
1266,1.0
1267,0.0
1268,0.0
1269,1.0
1270,1.0
1271,1.0
1273,0.0
1274,0.5
1275,1.0
1276,0.0
2201,1.0
2202,1.0
2203,1.0
2205,1.0
2206,1.0
2207,0.5
2208,1.0
2209,1.0
2210,1.0
2213,1.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,1.0
2223,0.0
2224,0.0
2225,0.0
2227,0.0
2228,0.0
2229,1.0
2230,0.0
2231,0.0
2232,1.0
2234,0.0
2235,0.0
2236,1.0
2237,0.0
2238,1.0
2239,0.0
2240,1.0
2241,1.0
2244,1.0
2245,1.0
2246,0.0
2247,1.0
2248,1.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,1.0
2255,0.0
2256,1.0
2257,0.0
2259,1.0
2260,1.0
2261,1.0
2262,1.0
2263,0.0
2264,0.0
2265,1.0
2266,1.0
2267,1.0
2268,0.5
2269,0.0
2270,0.0
2271,0.0
2272,1.0
2273,0.0
2274,1.0
2275,1.0
