id,score,rationale
1101,0.1,"The reply says Martin has not been seen for ages, which strongly suggests the answer to whether they met lately is no."
1102,0.1,"Sending out an application is not something happening right now in the sense of the question, so it implies no to doing something else at the moment."
1103,0.9,"Training with Lukas at the gym indicates they usually exercise together, so this is a strong yes."
1104,0.9,Saying his grandfather passed away recently directly confirms a death in the family.
1105,0.9,Being about 1000 km away clearly means Paris is very far from here.
1106,0.9,A six hour drive indicates it takes a long time to get to Munich.
1107,0.1,"A train delay means the journey is not going as planned, so this is a no."
1108,0.1,"If there is still some cereal left, they have not finished it."
1109,0.1,"If it is not due for three months, then the deadline is not next week."
1110,0.9,Always congested with cars strongly confirms there is usually a lot of traffic.
1111,0.1,Being vegetarian implies she does not eat meat.
1112,0.9,Having the flu clearly means John is sick.
1113,0.9,Running for hours every day strongly indicates she trains daily.
1114,0.1,"If she just woke up, she is not still sleeping."
1115,0.1,"If it comes out next week, it is not being released today."
1116,0.9,Having used a drill before answers yes to ever having worked with one.
1117,0.1,"Celebrating tonight does not match the party taking place tomorrow, so this is no."
1118,0.9,Moving out tomorrow means leaving the flat soon.
1119,0.9,Always falling behind strongly suggests he is a slacker.
1120,0.9,Being famous for surfing directly answers that the area is popular for something.
1121,0.1,"Quite rough is the opposite of calm, so this is no."
1122,0.1,Working at an NGO means not working for a corporate company.
1123,0.9,Authoring many successful books strongly indicates he is a writer.
1124,0.1,Still analyzing it means the data work is not finished.
1125,0.9,An endangered species implies there are not many pandas left.
1126,0.9,Enrolled at the gym means they have joined a fitness studio.
1127,0.1,"If the thesis is not complete yet, it has not been finished."
1128,0.9,Saying the hair was way too long indicates they did have long hair.
1129,0.1,"A business trip is not a vacation, so this is no."
1130,0.1,Needing a larger one implies a one-room flat is not enough.
1131,0.9,"If the deadline is tomorrow, then she has to hand it in soon."
1132,0.9,Sleeping only four hours indicates a short night.
1133,0.1,"If the offer had already expired, the flight was not still discounted."
1134,0.9,Got wounded directly indicates the cat is hurt.
1135,0.1,"If Mark is still missing, then not all of us are here."
1137,0.9,Being Chinese strongly suggests coming from Asia.
1138,0.1,"The line went dead implies the call ended, so he did not hang up in the intended sense."
1139,0.9,Having domestics means someone is taking care of the house.
1140,0.1,Just opened means it has not been there for long.
1141,0.9,A house full of history books strongly suggests he owns many books.
1143,0.9,Only a few guests over for dinner indicates a small gathering.
1144,0.1,Only one week off work means they do not have two weeks of holiday.
1145,0.9,Going to have a baby is a clear indication of pregnancy.
1147,0.1,Still owing the bank money means the debts have not been paid back.
1148,0.1,Only had water means he did not drink a cocktail.
1149,0.3,"Owning an orchard does not directly answer whether there is a vegetable garden; it suggests a different kind of garden, so the answer is likely no but not certain."
1150,0.1,Being 25 years old means he is not underage.
1151,0.1,Extremely expensive tuition means Harvard is not affordable.
1152,0.9,A bank transfer a few moments ago strongly indicates she has paid them yet.
1153,0.1,"If they cannot swim yet, they are not good at swimming."
1154,0.9,Being healthy again means the cold is gone.
1155,0.9,Not allowed to get closer directly confirms it is forbidden to approach the area.
1156,0.9,Watering them regularly strongly suggests someone took care of the plants.
1157,0.1,"If he was already dead by then, he was not alive in the 80s."
1158,0.9,A thick ice layer strongly indicates the lake is frozen.
1159,0.1,Being in the advanced course means she is not a beginner.
1160,0.9,Seeing a doctor is a clear form of seeking medical advice.
1161,0.1,Going out with friends means he did not stay home.
1162,0.9,Voting yesterday indicates there was an election recently.
1163,0.9,Spotless means completely clean.
1164,0.1,Submitting a blank sheet means they did not answer all questions.
1165,0.1,Just getting into the changing room means she is not out on the tennis field.
1166,0.9,Being compensated means he got the money back in effect.
1167,0.1,No one has responded means nobody answered the ad.
1168,0.1,Not playing any instrument suggests he is not a musician.
1169,0.7,"Being in Japan for several months implies he has travelled in Asia, though it is not fully explicit beyond Japan."
1170,0.9,Aiming for the mountain top clearly means the goal is the summit.
1171,0.9,"If the customer received it, then the package got to him."
1173,0.1,Skipping the last four lessons means she did not attend the whole course.
1174,0.9,Really poor resolution corresponds to a bad image on the screen.
1175,0.9,Graduating from medical school last year means she completed her medical studies.
1176,0.1,Private property is not a public building.
1201,0.1,"Not seeing him for ages suggests they are not still good friends, or at least not in contact."
1202,0.7,"Sending out an application suggests looking for a job, though it is slightly indirect."
1203,0.9,Training with him at the gym indicates they know Lukas.
1204,0.1,The grandfather passing away recently does not support this being his property now.
1205,0.9,Being about 1000 km away clearly means it takes long to drive to Paris.
1206,0.9,A six hour drive indicates Munich is far from here.
1207,0.1,A train delay means he will not be home by noon as planned.
1208,0.1,There is still some left means they have not bought cereal.
1209,0.1,"If it is not due for three months, they likely have not started writing the essay in the intended sense."
1210,0.9,Always congested with cars strongly suggests they will be late to the cinema.
1211,0.1,Being vegetarian means she is not coming to the steak house for steak.
1212,0.9,Having the flu strongly suggests John is staying home.
1213,0.9,Running for hours every day strongly indicates she has registered for the marathon.
1214,0.1,Just waking up means she did not have breakfast already.
1215,0.1,"If it comes out next week, then he has not seen it yet."
1216,0.9,Having used one before indicates he knows how to use a drill.
1217,0.1,"Celebrating tonight does not fit having failed the exam, so likely no."
1218,0.1,Moving out tomorrow suggests breaking up is not clearly confirmed and may be unrelated; as an answer to the question it leans no/uncertain.
1219,0.7,"Always falling behind suggests he may have been fired, but it is indirect and not certain."
1220,0.7,"Being famous for surfing suggests there are big waves here, though it is not explicit."
1221,0.1,Quite rough means the sea is not safe to swim in.
1222,0.1,Working at an NGO suggests not making a lot of money.
1223,0.7,"Authoring many successful books suggests he is famous, though fame is not directly stated."
1224,0.1,Still analyzing it means the data has not been presented at the meeting.
1225,0.1,Endangered species means it is not legal to hunt pandas.
1226,0.7,"Enrolling at the gym suggests trying to lose weight, but it is indirect."
1227,0.1,"If the thesis is not complete yet, she has not graduated."
1228,0.1,Saying the hair was way too long suggests he did not get it cut.
1229,0.1,A business trip means it was not for sightseeing or vacation.
1230,0.1,Needing a larger one means he did not buy the one-room flat.
1231,0.9,A deadline tomorrow strongly implies she is stressed about the project.
1232,0.9,Sleeping only four hours indicates tiredness.
1233,0.1,"If the offer had already expired, he did not book the flight under that offer."
1234,0.9,Got wounded directly indicates the cat needs the vet / is hurt.
1235,0.1,"If Mark is still missing, then we are not all ready to go."
1237,0.7,"Being Chinese suggests ability to cook cantonese rice, but nationality alone does not guarantee it."
1238,0.1,The line went dead means he likely did not tell him about the issue.
1239,0.7,"Having domestics suggests the house is tidy, though not guaranteed."
1240,0.1,They have just opened means the bar has not been tried yet.
1241,0.7,"A house full of history books suggests a passion for history, but it is indirect."
1243,0.1,"Only a few guests over for dinner suggests the saucepan is not big enough for a large amount, but the question is about size and the reply is indirect."
1244,0.1,Only one week off work means a two-week trip is not possible.
1245,0.9,Going to have a baby strongly suggests avoiding alcohol.
1247,0.1,Still owing the bank money means he did not get a new loan in the intended sense.
1248,0.1,Only had water means he is not drunk.
1249,0.1,"Owning an orchard means he does not buy fruit in the supermarket, at least not as the main source."
1250,0.1,Being 25 years old means he is not at elementary school.
1251,0.1,Extremely expensive tuition means Harvard is not an affordable option.
1252,0.9,A bank transfer a few moments ago strongly indicates she accepted the deal / paid.
1253,0.1,"If they cannot swim yet, they did not go to the swimming pool for swimming ability."
1254,0.9,Being healthy again means she is no longer taking pills for that illness.
1255,0.9,Not allowed to get closer directly confirms the area is restricted/contaminated.
1256,0.9,Watering them regularly strongly suggests the plants are still alive.
1257,0.1,"If he was already dead by then, the artwork could not have been created by him in 1981."
1258,0.9,A thick ice layer strongly indicates it is ice skating season.
1259,0.1,Being in the advanced course means she is not a beginner.
1260,0.7,"Seeing a doctor suggests he has been sick, though it is not explicit."
1261,0.1,Going out with some friends means he did not go to bed early.
1262,0.9,Voting yesterday indicates the members could elect a representative.
1263,0.9,Spotless means the car is back from the car wash / completely clean.
1264,0.1,Submitting a blank sheet means they did not write a good exam.
1265,0.1,Just getting into the changing room means she is not dressed for the tennis game yet.
1266,0.9,Being compensated means he got the money back / settled it.
1267,0.1,No one has responded means the house has not been sold.
1268,0.1,Not playing any instrument means he is not part of the marching band.
1269,0.7,"Being in Japan for several months suggests he may have tried sushi, but it is not certain."
1270,0.9,Aiming for the mountain top clearly means the route is going uphill.
1271,0.9,"If the customer received it, then the package was shipped to him."
1273,0.1,Skipping the last four lessons means she is not very dedicated to the course.
1274,0.7,"Poor monitor resolution can cause eye strain, so this is somewhat likely yes."
1275,0.9,Graduating from medical school means she is a medical doctor.
1276,0.1,"Private property suggests he has not been inside that building, or at least not legally."
2101,0.9,"Needing to revise topics clearly means yes, study for the test."
2102,0.9,An interesting new movie indicates something has come out in cinemas recently.
2103,0.9,Quite chilly directly answers yes to it being cold.
2105,0.7,"Hearing good things about the book suggests some knowledge about the novel, though indirect."
