id,score,rationale
1101,0.95,"Person B answers “I have not seen him for ages,” which directly confirms the question “Have you met Martin lately?” The response clearly indicates they have not met him recently."
1102,0.95,"The question asks if Person B is doing something right now. Person B replies “I am sending out an application,” which is an explicit present action."
1103,0.95,"The question asks whether they usually exercise with Lukas. Person B answers “I train with him at the gym,” confirming the usual exercise with Lukas."
1104,0.95,"The question asks about a death in his family. Person B says “His grandfather passed away recently,” which directly answers yes."
1105,0.95,"The question asks if Paris is very far from here. Person B replies it is about 1000 Km away, confirming it is far."
1106,0.95,"The question asks if it takes long to get to Munich. Person B says “It is a six hour drive,” which confirms it takes a long time."
1107,0.85,"The question asks if the journey is going as planned. Person B says “My train has some delay,” which indicates it is not going as planned (a clear negative to the plan)."
1108,0.9,"The question asks if they have finished their cereal. Person B says “There is still some left,” meaning they have not finished."
1109,0.9,"The question asks if the essay deadline is next week. Person B says it is not due for three months, which is a clear no."
1110,0.95,"The question asks if there is usually a lot of traffic. Person B says the streets are always congested, confirming yes."
1111,0.95,"The question asks if Megan eats meat. Person B says she is vegetarian, which implies she does not eat meat."
1112,0.95,"The question asks if John is sick today. Person B replies “He has the flu,” directly confirming sickness."
1113,0.95,"The question asks if Sonya trains daily. Person B says she runs for hours every day, confirming daily training."
1114,0.9,"The question asks if Clara is still sleeping. Person B says she just woke up, indicating no."
1115,0.9,"The question asks if the movie will be released today. Person B says it comes out next week, so the answer is no."
1116,0.95,"The question asks if they have ever worked with a drill. Person B says “I have used one before,” confirming yes."
1117,0.9,"The question asks if the birthday party takes place tomorrow. Person B says “I am celebrating tonight,” which is a no."
1118,0.95,"The question asks if they are leaving their flat soon. Person B says “I am moving out tomorrow,” which confirms it is soon."
1119,0.85,"The question asks if he is a slacker. Person B says he was always falling behind, which strongly implies slacking/poor performance (yes)."
1120,0.95,"The question asks if the area is popular for something. Person B says the region is famous for surfing, confirming popularity."
1121,0.9,"The question asks if the sea is calm these days. Person B says it is quite rough, indicating no."
1122,0.9,"The question asks if they work for a corporate company. Person B says their job is at an NGO, which is a no."
1123,0.95,"The question asks if he is a writer. Person B says he has authored many successful books, confirming yes."
1124,0.9,"The question asks if they are finished working on data. Person B says “I am still analyzing it,” meaning not finished (no)."
1125,0.9,"The question asks if there are many pandas left. Person B says they are an endangered species, implying few left (no)."
1126,0.95,"The question asks if they have joined a fitness studio. Person B says “I have enrolled at the gym,” confirming yes."
1127,0.9,"The question asks if they have finished writing their thesis. Person B says the thesis is not complete yet, so no."
1128,0.95,"The question asks if they used to have long hair. Person B says “My hair was way too long,” confirming yes."
1129,0.9,"The question asks if they went to Japan for vacation. Person B says it was a business trip, so no."
1130,0.9,"The question asks if a one-room flat is enough. Person B says “I need a larger one,” indicating no."
1131,0.95,"The question asks if she has to hand in soon. Person B says the deadline is tomorrow, confirming it is soon."
1132,0.95,"The question asks if they had a short night. Person B says they slept only four hours, confirming yes."
1133,0.9,"The question asks if the flight was still discounted. Person B says the offer had already expired, indicating no."
1134,0.95,"The question asks if the cat is hurt. Person B says it got wounded, confirming yes."
1135,0.9,"The question asks if we are all here. Person B says Mark is still missing, so no."
1137,0.95,"The question asks if they come from Asia. Person B says “I am Chinese,” which confirms Asia."
1138,0.95,"The question asks if they hung up. Person B says “The line went dead,” which indicates the call ended (yes)."
1139,0.85,"The question asks if someone is taking care of their house. Person B says “They have domestics,” implying household help (yes)."
1140,0.9,"The question asks if that bar has been here for long. Person B says they have just opened, indicating no."
1141,0.95,"The question asks if he owns many books. Person B says the house is full of history books, confirming yes."
1143,0.9,"The question asks if there is a small gathering tonight. Person B says they have only few guests over for dinner, confirming a small gathering."
1144,0.9,"The question asks if they have two weeks of holiday. Person B says only one week off, so no."
1145,0.95,"The question asks if they are pregnant. Person B says “I am going to have a baby,” confirming yes."
1147,0.9,"The question asks if they have paid back their debts. Person B says they still owe the bank money, so no."
1148,0.95,"The question asks if he drank a cocktail tonight. Person B says he only had water, indicating no."
1149,0.85,"The question asks if they have a vegetable garden. Person B says “I own an orchard,” which is not a vegetable garden; likely no."
1150,0.9,"The question asks if their son is underage. Person B says he is 25 years old, so no."
1151,0.9,"The question asks if Harvard is affordable. Person B says tuition is extremely expensive, indicating no."
1152,0.95,"The question asks if she has paid us yet. Person B says she made a bank transfer moments ago, confirming yes."
1153,0.9,"The question asks if the kids are good at swimming. Person B says they cannot swim yet, indicating no."
1154,0.9,"The question asks if they still have a cold. Person B says “I am healthy again,” indicating no."
1155,0.95,"The question asks if it is forbidden to approach the area. Person B says people are not allowed to get closer, confirming yes."
1156,0.95,"The question asks if someone took care of the plants. Person B says they watered them regularly, confirming yes."
1157,0.95,"The question asks if the artist was still alive in the 80s. Person B says he was already dead by then, so no."
1158,0.95,"The question asks if the lake is frozen. Person B says the ice layer is quite thick, confirming frozen."
1159,0.9,"The question asks if they are attending the beginners' class. Person B says they are in the advanced course, so no."
1160,0.95,"The question asks if they have sought medical advice. Person B says they have seen a doctor, confirming yes."
1161,0.9,"The question asks if they stayed home last night. Person B says they went out with friends, so no."
1162,0.95,"The question asks if there was an election recently. Person B says they voted yesterday, implying yes."
1163,0.95,"The question asks if the car is completely clean. Person B says it is spotless, confirming yes."
1164,0.9,"The question asks if they answered all questions. Person B says they submitted a blank sheet, indicating no."
1165,0.9,"The question asks if she is out on the tennis field. Person B says she just got into the changing room, so no."
1166,0.95,"The question asks if he got the money back. Person B says he was compensated, confirming yes."
1167,0.9,"The question asks if anyone answered the house sale ad. Person B says no one has responded, so no."
1168,0.9,"The question asks if he is a musician. Person B says he does not play any instrument, indicating no."
1169,0.95,"The question asks if he has travelled in Asia. Person B says he has been in Japan for several months, confirming yes."
1170,0.85,"The question asks if their goal is the summit. Person B says they are aiming for the mountain top, which is essentially the summit (yes)."
1171,0.95,"The question asks if the customer got his package. Person B says the customer received it, confirming yes."
1173,0.9,"The question asks if she attended the whole singing course. Person B says she skipped the last four lessons, so no."
1174,0.95,"The question asks if the screen has a bad image. Person B says the monitor resolution is really poor, confirming yes."
1175,0.95,"The question asks if she completed her medical studies. Person B says she graduated last year, confirming yes."
1176,0.9,"The question asks if it is a public building. Person B says it is a private property, so no."
1201,0.9,"The question asks if they are still good friends with Martin. Person B says “I have not seen him for ages,” which suggests distance; likely no."
1202,0.95,"The question asks if they are looking for a job. Person B says they are sending out an application, confirming yes."
1203,0.9,"The question asks if they know Lukas. Person B says they train with him at the gym, implying they know him (yes)."
1204,0.9,"The question asks if this is his property now. Person B talks about his grandfather passing away recently, which does not clearly answer property ownership; somewhat unclear."
1205,0.9,"The question asks if it takes long to drive to Paris. Person B says it is about 1000 Km away, which implies far/long, so likely yes."
1206,0.95,"The question asks if Munich is far from here. Person B says it is a six hour drive, confirming yes."
1207,0.85,"The question asks if they will be home by noon. Person B says the train has some delay, which suggests they may not be on time (no)."
1208,0.9,"The question asks if they have bought cereal. Person B says there is still some left, implying they already have cereal (yes)."
1209,0.9,"The question asks if they have started writing their essay. Person B says it is not due for three months, which does not confirm starting; unclear but likely no."
1210,0.95,"The question asks if they will be late to the cinema. Person B says streets are always congested, implying likely yes (they will be late)."
1211,0.9,"The question asks if Megan is coming to the steak house. Person B says she is vegetarian, which implies she likely will not come (no)."
1212,0.95,"The question asks if John is staying home. Person B says he has the flu, which strongly implies he is staying home (yes)."
1213,0.95,"The question asks if Sonya registered for the marathon. Person B says she runs for hours every day, which does not confirm registration; unclear/likely no."
1214,0.9,"The question asks if Clara had breakfast already. Person B says she just woke up, indicating no."
1215,0.9,"The question asks if they have seen that movie. Person B says it comes out next week, which does not confirm viewing; likely no."
1216,0.95,"The question asks if they know how to use a drill. Person B says they have used one before, confirming yes."
1217,0.2,"The question asks if they have failed the exam. Person B says “I am celebrating tonight,” which suggests success, so likely no."
1218,0.95,"The question asks if they are breaking up with him. Person B says they are moving out tomorrow, which is not breaking up; likely no."
1219,0.85,"The question asks if he was fired. Person B says he was always falling behind, which suggests poor performance but does not explicitly say fired; somewhat unclear but leaning no."
1220,0.85,"The question asks if there are big waves here. Person B says the region is famous for surfing, which implies waves but not necessarily big; somewhat uncertain."
1221,0.85,"The question asks if the sea is safe to swim here. Person B says it is quite rough, implying not safe (no)."
1222,0.9,"The question asks if they make a lot of money. Person B says their job is at an NGO, which does not directly answer income; likely no but uncertain."
1223,0.95,"The question asks if he is famous. Person B says he authored many successful books, which supports fame (yes)."
1224,0.9,"The question asks if they presented their data at the meeting. Person B says they are still analyzing it, indicating no."
1225,0.9,"The question asks if it is legal to hunt pandas. Person B says they are an endangered species, implying it is not legal (no)."
1226,0.2,"The question asks if they have lost some weight. Person B says they enrolled at the gym, which does not confirm weight loss; likely no."
1227,0.9,"The question asks if they have graduated. Person B says their thesis is not complete yet, so no."
1228,0.95,"The question asks if they got their hair cut. Person B says their hair was way too long, which does not confirm a haircut; unclear but likely no."
1229,0.2,"The question asks if they had time for sightseeing. Person B says it was a business trip, which does not confirm sightseeing time; likely no."
1230,0.9,"The question asks if they bought that one room flat. Person B says they need a larger one, indicating they did not buy it or it is insufficient; likely no."
1231,0.95,"The question asks if she is stressed about the project. Person B says the deadline is tomorrow, which explains stress (yes)."
1232,0.95,"The question asks if they are tired. Person B says they slept only four hours, confirming tiredness (yes)."
1233,0.9,"The question asks if he booked the flight. Person B says the offer had already expired, which does not confirm booking; likely no."
1234,0.95,"The question asks if they are bringing their cat to the vet. Person B says it got wounded, implying they should take it to the vet (yes)."
1235,0.9,"The question asks if we are ready to go. Person B says Mark is still missing, so not ready (no)."
1237,0.9,"The question asks if they can cook Cantonese rice. Person B says “I am Chinese,” which suggests possible ability but does not directly confirm cooking; somewhat uncertain but leaning yes."
1238,0.9,"The question asks if they told him about the issue. Person B says the line went dead, which implies they did not successfully tell him; likely no."
1239,0.85,"The question asks if their house is always tidy. Person B says they have domestics, which does not directly answer tidiness; unclear."
1240,0.9,"The question asks if they have tried that bar yet. Person B says they have just opened, which implies they likely have not tried it yet (no)."
1241,0.95,"The question asks if he has a passion for history. Person B says his house is full of history books, confirming yes."
1243,0.2,"The question asks if the saucepan is big enough. Person B talks about having only few guests over for dinner, which is unrelated to saucepan size; unclear/irrelevant."
1244,0.9,"The question asks if they will take a two weeks trip. Person B says they only have one week off work, so no."
1245,0.1,"The question asks if they are avoiding drinking alcohol. Person B says they are going to have a baby, which is unrelated; likely no."
1247,0.9,"The question asks if they did you get a new loan. Person B says they still owe the bank money, which suggests existing debt rather than a new loan; likely no."
1248,0.9,"The question asks if he is drunk. Person B says he only had water, indicating no."
1249,0.85,"The question asks if they buy fruit in the supermarket. Person B says they own an orchard, which suggests they get fruit elsewhere; likely no."
1250,0.9,"The question asks if their son is at elementary school. Person B says he is 25 years old, so no."
1251,0.9,"The question asks if Harvard University is an option for you. Person B says tuition is extremely expensive, implying it is not a viable option (no)."
1252,0.2,"The question asks if she accepted your deal. Person B says she made a bank transfer, which could indicate acceptance, but it is not explicit; somewhat uncertain but leaning yes."
1253,0.9,"The question asks if the kids went to the swimming pool. Person B says they cannot swim yet, which implies they did not go; likely no."
1254,0.9,"The question asks if they are still taking these pills. Person B says they are healthy again, implying they are not still taking them (no)."
1255,0.2,"The question asks if the area is contaminated. Person B says people are not allowed to get closer, which could indicate contamination but is not explicit; somewhat uncertain."
1256,0.95,"The question asks if the plants are still alive. Person B says they watered them regularly, which supports they are alive (yes)."
1257,0.9,"The question asks if the artwork was created by him in 1981. Person B says he was already dead by then, so no."
1258,0.95,"The question asks if it is ice skating season. Person B says the ice layer is quite thick, which implies conditions for skating (yes)."
1259,0.9,"The question asks if they are a beginner. Person B says they are in the advanced course, so no."
