id,score,rationale
1101,0.0,The answer directly says they have not seen Martin for ages. That clearly means they have not met him lately.
1102,1.0,The answer states the person is currently sending out an application. That directly confirms they are doing something right now.
1103,0.9,"Saying 'I train with him at the gym' strongly implies they usually exercise with Lukas. It is a clear yes, though not explicitly marked as habitual with 'usually.'"
1104,1.0,The answer says his grandfather passed away recently. That is a direct confirmation that there was a death in his family.
1105,0.8,"Being about 1000 km away strongly suggests Paris is very far from here. The answer supports yes, though 'very far' is somewhat subjective."
1106,1.0,A six hour drive clearly indicates it takes a long time to get to Munich. This strongly supports yes.
1107,0.2,"If the train has some delay, the journey is not going exactly as planned. That suggests no rather than yes."
1108,0.0,The answer says there is still some cereal left. That directly means they have not finished it.
1109,0.0,"If it is not due for three months, then the deadline is not next week. This is a direct no."
1110,1.0,The streets being always congested with cars directly indicates there is usually a lot of traffic.
1111,0.0,Being vegetarian means Megan does not eat meat. That is a clear no.
1112,1.0,Having the flu directly means John is sick today.
1113,1.0,Running for hours every day directly confirms that Sonya trains daily.
1114,0.0,"If Clara just woke up, she is no longer still sleeping. That makes the answer no."
1115,0.0,"If the movie comes out next week, it is not being released today. Clear no."
1116,1.0,Saying 'I have used one before' directly confirms prior experience with a drill.
1117,0.0,Celebrating tonight means the party is not tomorrow. That clearly answers no.
1118,1.0,Moving out tomorrow strongly implies leaving the flat soon. This supports yes.
1119,0.9,Always falling behind strongly suggests he is a slacker. It is an inferential but strong yes.
1120,1.0,"If the region is famous for surfing, then the area is clearly popular for something."
1121,0.0,Saying the sea is quite rough directly contradicts it being calm.
1122,0.0,Working at an NGO means not working for a corporate company. Clear no.
1123,1.0,Having authored many successful books directly confirms he is a writer.
1124,0.0,Still analyzing the data means the work is not finished yet. Clear no.
1125,0.2,"Being endangered suggests there are not many pandas left. So the answer leans no to 'are there many pandas left,' though it is somewhat indirect."
1126,1.0,Enrolling at the gym directly indicates joining a fitness studio.
1127,0.0,Saying the thesis is not complete yet directly means it has not been finished.
1128,1.0,Saying the hair was way too long directly confirms they used to have long hair.
1129,0.0,"The answer says it was a business trip, not a vacation. So the answer to whether they went to Japan for vacation is no."
1130,0.0,Needing a larger flat directly means a one-room flat is not enough.
1131,1.0,"If the deadline is tomorrow, then she does have to hand in soon. Strong yes."
1132,1.0,Sleeping only four hours clearly indicates a short night.
1133,0.0,"If the offer had already expired, the flight was not still discounted. Clear no."
1134,1.0,Getting wounded directly means the cat is hurt.
1135,0.0,"If Mark is still missing, then not everyone is here yet. Clear no."
1137,1.0,Being Chinese means the person comes from Asia. Clear yes.
1138,0.7,"If the line went dead, the call ended, which may mean it got hung up. But it does not clearly say the person intentionally hung up, so only somewhat yes."
1139,1.0,Having domestics means someone is taking care of the house. Clear yes.
